card_txn_id,card_id,merchant_id,amount,currency_code,txn_datetime,status,is_flagged
52,433,72,655.09,USD,2022-06-12T08:57:39,approved,0
53,226,24,775.5,GBP,2023-06-16T15:08:14,approved,0
54,317,84,150.64,USD,2022-03-20T05:43:32,approved,0
55,22,71,2152.64,USD,2023-06-15T08:01:43,approved,0
56,277,92,136.11,USD,2022-08-12T02:32:28,approved,0
57,105,42,1711.96,QAR,2025-10-26T13:04:41,approved,0
58,13,42,1821.69,USD,2024-04-15T20:23:30,declined,0
59,16,21,1106.17,USD,2022-11-04T18:01:06,approved,0
60,262,92,2343.06,USD,2025-04-05T22:22:13,approved,0
61,337,93,451.92,GBP,2025-08-22T02:04:59,reversed,0
62,295,81,1645.6,USD,2022-09-06T16:51:03,approved,0
63,267,57,952.18,USD,2025-03-24T09:58:15,approved,0
64,186,30,1368.55,GBP,2022-08-25T22:15:28,approved,0
65,186,11,1057.25,USD,2024-01-12T20:30:38,approved,0
66,118,73,2483.81,AED,2025-01-06T07:49:58,approved,0
67,71,78,782.32,USD,2023-10-05T03:05:26,approved,0
68,295,64,1898.62,GBP,2023-01-04T14:00:10,approved,0
69,284,92,2790.52,GBP,2022-09-16T01:53:27,approved,0
70,38,17,1545.66,USD,2024-03-05T13:22:08,approved,0
71,365,38,358.85,QAR,2023-11-21T18:38:39,approved,0
72,38,95,2762.33,QAR,2024-04-17T20:28:47,approved,0
73,245,90,405.55,USD,2025-04-22T16:05:09,declined,0
74,190,87,1948.92,USD,2024-06-17T05:32:46,approved,0
75,50,30,893.45,USD,2025-03-01T16:57:33,approved,0
76,219,37,969.75,USD,2023-01-01T04:02:52,declined,0
77,375,27,1292.75,USD,2025-06-14T10:06:22,approved,0
78,141,63,1317.87,QAR,2023-08-14T08:38:48,approved,0
79,143,19,289.74,EUR,2024-11-07T05:01:38,declined,0
80,277,69,2397.38,USD,2022-02-22T11:13:18,declined,0
81,375,57,1563.64,QAR,2023-08-28T03:45:45,declined,0
82,456,56,1480.78,USD,2022-10-08T08:46:42,approved,0
83,41,96,2380.37,GBP,2023-11-01T05:32:21,approved,0
84,263,87,2331.58,GBP,2023-10-07T01:27:06,declined,0
85,163,25,2524.61,EUR,2025-07-06T01:40:40,approved,0
86,193,112,2829.6,EUR,2023-06-28T15:09:31,approved,0
87,145,17,597.32,QAR,2024-11-23T23:47:13,approved,0
88,286,79,627.22,USD,2024-05-06T22:16:39,approved,0
89,327,45,1453.73,EUR,2023-01-04T09:53:14,approved,0
90,251,102,1890.82,EUR,2025-01-17T15:18:06,approved,0
91,460,97,2292.28,USD,2024-07-04T10:15:42,approved,0
92,490,41,1982.52,USD,2024-03-26T22:08:49,declined,0
93,443,63,1803.97,EUR,2022-03-01T09:17:32,approved,0
94,210,8,1687.65,USD,2025-10-14T10:26:25,approved,0
95,134,117,165.79,USD,2023-03-25T10:40:52,approved,0
96,114,74,2627.11,USD,2025-07-04T03:39:39,approved,0
97,11,93,65.31,USD,2025-12-14T10:58:22,approved,0
98,336,7,1556.91,USD,2023-02-11T05:53:34,approved,0
99,149,103,485.89,USD,2024-04-26T06:35:46,approved,1
100,433,3,2265.86,USD,2024-10-24T12:50:31,approved,0
101,13,30,1895.4,EUR,2022-03-11T08:47:07,approved,0
102,206,17,2455.25,QAR,2022-06-23T02:04:32,approved,0
103,213,3,46.2,QAR,2025-05-23T04:06:47,approved,0
104,426,78,2578.19,GBP,2024-05-20T16:47:01,approved,0
105,52,34,2907.85,EUR,2024-02-11T09:27:05,approved,0
106,143,62,854.7,GBP,2024-11-03T07:24:01,reversed,0
107,488,48,2288.58,GBP,2024-07-15T07:36:01,approved,0
108,190,62,1690.33,EUR,2023-11-12T04:51:40,reversed,0
109,87,27,2594.75,USD,2023-05-27T02:09:25,approved,0
110,371,108,1700.78,USD,2024-10-07T08:26:19,approved,0
111,19,42,2067.61,EUR,2022-01-12T08:44:13,approved,0
112,280,64,940.42,EUR,2023-10-22T14:45:30,approved,0
113,376,11,2763.85,USD,2022-06-08T12:08:48,approved,0
114,63,22,593.71,QAR,2022-08-21T01:56:27,approved,0
115,269,63,421.32,QAR,2024-05-06T12:00:18,approved,0
116,369,119,2640.92,USD,2023-10-23T19:56:23,approved,0
117,149,67,2055.7,QAR,2024-01-31T16:38:16,approved,0
118,170,119,2240.8,AED,2022-10-05T05:33:45,approved,1
119,214,23,452.75,USD,2022-01-12T09:44:12,approved,0
120,235,43,285.95,EUR,2025-05-02T05:04:22,approved,0
121,177,81,44.36,USD,2023-08-06T13:37:46,approved,0
122,207,120,765.74,USD,2025-09-12T06:04:37,approved,0
123,144,23,790.29,USD,2024-12-05T18:41:49,approved,0
124,437,76,1815.12,AED,2025-06-15T21:58:30,approved,1
125,119,28,275.83,QAR,2022-10-28T04:10:30,approved,0
126,459,7,412.65,QAR,2024-05-21T21:30:20,approved,0
127,124,72,1180.95,GBP,2025-12-17T15:22:19,approved,0
128,41,114,1816.93,USD,2022-12-07T20:53:17,approved,0
129,287,57,1471.3,GBP,2025-11-04T03:35:57,approved,0
130,13,111,1098.33,USD,2025-10-04T11:46:27,approved,0
131,472,25,1148.61,USD,2022-01-22T06:28:23,approved,1
132,159,43,284.14,USD,2023-06-04T16:58:00,approved,0
133,141,83,1437.25,USD,2025-11-25T22:16:17,approved,0
134,422,4,2589.83,QAR,2025-05-29T20:29:31,approved,0
135,332,97,1637.67,USD,2024-01-27T00:39:57,approved,0
136,91,112,2553.13,USD,2022-09-02T01:28:40,approved,0
137,440,70,833.88,QAR,2025-09-03T19:47:01,approved,0
138,461,41,2693.41,USD,2025-04-16T23:23:33,approved,0
139,214,108,2003.83,USD,2023-01-31T16:09:46,approved,0
140,23,36,1826.37,EUR,2024-04-18T05:40:47,approved,0
141,160,36,1682.56,USD,2024-08-12T18:53:44,approved,0
142,46,15,2754.2,USD,2022-06-26T05:20:37,approved,1
143,87,101,33.3,EUR,2024-07-31T02:56:46,declined,0
144,349,83,2828.09,QAR,2022-09-29T09:03:24,approved,0
145,72,73,947.99,USD,2023-01-21T08:56:12,approved,0
146,358,57,795.11,USD,2025-03-31T11:22:49,approved,0
147,324,88,2495.53,USD,2025-04-13T12:09:34,approved,0
148,223,45,1938.73,EUR,2023-08-15T06:21:44,reversed,0
149,381,102,808.31,USD,2023-03-08T08:13:29,approved,0
150,265,85,1894.08,USD,2024-08-14T18:20:23,approved,0
151,462,5,968.47,USD,2024-01-05T00:10:26,approved,0
152,463,13,562.96,USD,2022-11-30T14:34:11,approved,0
153,316,59,1781.54,EUR,2024-03-28T15:53:15,approved,0
154,173,62,2036.31,USD,2023-04-25T16:06:26,approved,0
155,296,52,1780.04,USD,2022-12-07T09:56:38,reversed,0
156,102,73,2256.05,USD,2023-11-14T01:05:19,approved,0
157,178,59,1189.19,USD,2025-09-10T04:12:56,approved,0
158,95,31,2573.57,USD,2023-05-17T04:43:35,approved,0
159,245,21,1035.45,USD,2025-11-07T12:44:13,declined,0
160,426,60,2119.26,GBP,2022-07-16T12:08:20,approved,0
161,396,42,2694.27,QAR,2024-05-19T19:25:34,approved,0
162,380,76,82.64,QAR,2022-12-31T07:23:23,approved,0
163,313,77,2255.55,QAR,2025-08-15T07:08:31,approved,0
164,223,12,1020.08,EUR,2024-05-21T04:18:19,approved,0
165,18,34,2875.62,USD,2022-12-01T12:43:33,approved,0
166,43,45,2058.82,USD,2024-04-08T00:10:20,approved,0
167,352,59,36.74,EUR,2025-10-04T12:27:49,approved,0
168,380,82,349.64,QAR,2024-07-11T16:23:49,approved,0
169,274,47,336.79,USD,2024-05-18T17:48:24,approved,0
170,4,44,2844.71,GBP,2023-06-13T06:32:52,approved,0
171,223,7,1395.36,USD,2024-09-29T14:23:03,declined,0
172,130,55,1013.71,USD,2022-02-18T17:17:11,approved,0
173,229,42,894.45,USD,2022-08-17T11:46:02,approved,0
174,90,11,1605.89,USD,2022-10-24T20:31:27,declined,0
175,235,89,1852.49,QAR,2024-12-08T18:29:02,approved,0
176,76,78,2930.58,EUR,2022-07-27T12:32:46,approved,0
177,384,39,1268.74,USD,2023-06-11T23:41:47,declined,0
178,222,15,2381.35,EUR,2023-09-13T19:32:34,approved,0
179,410,7,1123.96,USD,2024-06-13T08:47:44,approved,0
180,344,6,1814.66,QAR,2025-10-20T09:17:00,approved,1
181,213,85,391.04,USD,2025-05-11T20:20:06,approved,1
182,167,29,193.04,USD,2025-12-29T19:52:29,approved,0
183,169,70,1168.34,QAR,2022-01-26T10:21:20,approved,0
184,237,110,2228.23,USD,2025-11-29T05:43:24,approved,0
185,437,74,2903.24,EUR,2025-02-23T11:05:13,approved,0
186,156,38,2253.07,USD,2024-08-15T00:09:39,approved,0
187,290,56,1247.35,GBP,2023-08-05T17:47:31,reversed,0
188,276,17,1136.53,QAR,2022-09-10T03:25:13,approved,0
189,149,23,2594.95,GBP,2024-04-01T17:26:22,approved,0
190,307,36,959.57,USD,2022-08-05T21:56:43,reversed,0
191,163,65,1607.81,USD,2024-04-07T15:48:29,approved,0
192,81,119,2620.28,USD,2022-01-07T17:53:21,approved,0
193,350,117,296.77,EUR,2024-05-06T13:26:12,approved,0
194,71,79,1860.52,AED,2025-05-12T18:46:26,declined,0
195,128,22,1708.78,USD,2022-07-06T11:01:47,approved,0
196,200,71,1534.98,USD,2022-11-27T14:23:46,approved,0
197,480,92,2764.31,USD,2023-08-24T02:57:01,approved,0
198,126,88,1810.54,AED,2022-12-29T14:32:41,approved,0
199,170,112,2760.63,USD,2024-08-04T23:04:00,approved,0
200,209,111,1560.26,USD,2024-02-29T02:50:26,declined,0
201,276,16,2147.95,EUR,2024-12-29T22:01:28,approved,0
202,150,104,1196.39,QAR,2022-03-23T11:25:45,declined,0
203,226,55,2362.7,USD,2023-06-22T18:48:50,approved,0
204,212,85,1020.82,QAR,2024-09-15T06:16:06,approved,0
205,235,116,2127.83,GBP,2023-06-17T10:18:44,approved,0
206,359,34,1705.56,EUR,2022-10-14T04:33:18,approved,0
207,289,47,2141.98,USD,2022-11-21T18:40:19,approved,0
208,151,20,2231.71,EUR,2022-10-28T19:18:54,approved,0
209,15,109,636.56,USD,2025-04-11T00:16:23,approved,0
210,265,52,1431.97,QAR,2023-12-06T20:09:37,approved,0
211,192,49,2596.5,USD,2022-12-13T16:30:11,approved,0
212,343,9,1028.42,USD,2023-04-05T04:17:38,approved,0
213,333,26,1070.79,USD,2025-07-31T00:53:47,approved,0
214,269,115,686.66,USD,2025-09-22T01:25:40,approved,0
215,35,35,1660.75,USD,2025-01-06T02:51:03,approved,0
216,126,33,2392.22,USD,2025-08-25T07:14:44,approved,0
217,312,35,1656.82,USD,2023-01-25T23:53:58,approved,0
218,268,39,184.47,USD,2025-04-14T18:30:29,approved,0
219,27,41,2370.47,USD,2024-09-06T03:28:05,approved,0
220,302,28,1795.68,USD,2022-01-20T18:27:55,declined,0
221,227,100,1928.6,EUR,2025-07-24T19:48:29,reversed,0
222,209,77,813.69,EUR,2023-11-05T16:30:32,approved,0
223,136,112,1597.51,USD,2025-10-20T17:32:19,approved,0
224,388,24,1463.77,USD,2024-11-09T15:31:10,approved,0
225,345,39,285.51,QAR,2023-12-03T20:43:34,approved,0
226,56,98,696.94,USD,2023-09-18T10:49:33,approved,0
227,475,79,632.46,EUR,2023-10-26T05:12:49,approved,0
228,81,79,1988.45,USD,2024-11-23T15:41:38,approved,0
229,138,30,2798.66,USD,2023-09-14T11:09:19,approved,0
230,382,41,1350.22,USD,2024-03-16T13:00:48,declined,0
231,210,46,1938.09,USD,2024-07-24T08:01:52,approved,0
232,367,33,885.8,USD,2023-10-22T13:50:24,approved,0
233,103,103,646.51,USD,2023-07-16T03:04:15,approved,0
234,483,93,1779.63,AED,2022-04-05T21:24:44,declined,0
235,128,36,2960.81,EUR,2022-05-02T03:03:40,approved,0
236,225,119,854.14,USD,2022-06-01T10:49:46,approved,0
237,78,76,897.97,USD,2022-06-30T14:15:20,approved,0
238,134,72,1594.02,USD,2022-02-14T04:49:49,approved,0
239,365,95,943.26,QAR,2024-07-02T23:56:13,approved,0
240,236,47,1000.37,EUR,2025-12-12T08:16:38,approved,1
241,62,83,1233.52,USD,2024-09-23T01:53:33,approved,0
242,192,3,1698.01,AED,2024-10-29T10:50:34,approved,0
243,325,9,2203.83,EUR,2025-02-17T03:34:10,approved,0
244,45,74,2767.65,EUR,2023-01-26T02:49:43,approved,0
245,232,114,2641.86,GBP,2025-08-25T10:04:11,approved,0
246,271,100,2078.37,QAR,2024-06-04T00:25:36,approved,0
247,200,3,27.6,USD,2022-11-05T08:54:14,approved,0
248,273,59,1961.53,USD,2025-03-22T11:57:56,approved,0
249,97,99,446.55,USD,2022-07-26T00:34:38,declined,0
250,66,70,1046.86,USD,2023-10-08T07:42:13,approved,0
251,139,30,2809.03,USD,2023-12-29T00:08:56,declined,0
252,428,49,78.22,QAR,2023-03-04T12:03:28,approved,0
253,395,49,1771.47,USD,2022-12-25T16:58:37,approved,0
254,388,27,362.83,USD,2025-05-23T11:47:20,approved,0
255,47,103,1521.72,USD,2024-11-07T03:29:01,approved,0
256,205,110,302.0,USD,2023-09-27T02:27:54,approved,0
257,360,11,1952.0,QAR,2024-08-23T00:17:46,approved,0
258,73,109,748.5,EUR,2022-09-20T16:09:08,approved,0
259,32,77,2407.54,QAR,2025-09-15T09:23:39,approved,0
260,89,23,2809.0,AED,2025-10-01T05:23:56,declined,0
261,16,64,613.82,USD,2024-02-04T08:39:20,approved,1
262,15,114,1412.57,GBP,2022-10-23T13:02:34,approved,0
263,269,22,476.2,USD,2023-04-02T02:26:04,approved,0
264,213,110,2694.63,USD,2025-05-20T20:00:19,approved,0
265,132,17,969.98,USD,2025-06-10T21:45:06,approved,0
266,437,74,590.47,USD,2022-09-23T04:14:42,approved,0
267,207,37,2660.98,USD,2023-04-09T08:11:46,approved,0
268,499,60,2005.73,USD,2025-03-28T08:48:57,approved,0
269,339,19,1738.95,QAR,2022-03-12T23:57:51,approved,0
270,102,24,44.94,EUR,2023-05-03T05:25:20,approved,0
271,440,45,564.87,QAR,2025-03-28T12:28:13,approved,0
272,226,16,2235.39,EUR,2024-11-19T10:21:57,approved,0
273,447,63,2316.48,USD,2022-07-17T21:54:21,approved,0
274,401,47,1280.69,USD,2025-01-17T04:06:14,reversed,0
275,62,71,2138.66,USD,2023-12-13T09:28:27,approved,0
276,495,111,2915.1,USD,2024-11-12T06:09:53,approved,0
277,102,94,2234.3,USD,2022-11-07T18:55:33,approved,0
278,186,70,692.81,QAR,2024-12-23T05:23:10,approved,0
279,325,110,1855.32,QAR,2022-11-08T17:39:27,approved,0
280,492,52,890.9,QAR,2024-05-12T15:29:20,approved,0
281,1,10,755.49,EUR,2023-10-01T06:59:46,approved,0
282,31,97,1232.31,USD,2022-11-25T07:25:50,approved,0
283,303,25,747.22,USD,2023-04-09T08:08:57,approved,0
284,300,87,457.23,USD,2025-10-08T08:48:20,approved,0
285,160,68,309.63,EUR,2024-08-22T07:42:28,approved,0
286,381,79,1364.19,USD,2023-12-01T08:02:24,approved,0
287,321,60,1278.88,USD,2025-12-24T22:55:50,approved,0
288,268,14,267.54,GBP,2025-05-11T11:15:55,approved,0
289,360,56,1266.18,EUR,2023-07-28T23:46:17,declined,0
290,169,54,2001.6,USD,2024-01-01T02:00:06,approved,0
291,300,64,665.72,USD,2023-06-29T03:49:52,approved,0
292,429,73,1128.72,USD,2025-09-29T12:02:38,approved,0
293,330,13,1727.73,USD,2023-05-04T11:37:43,approved,0
294,418,51,2155.43,USD,2025-08-18T14:54:29,approved,0
295,482,52,2439.86,EUR,2024-06-03T21:58:01,approved,0
296,323,43,298.21,QAR,2022-02-28T23:29:54,declined,0
297,350,45,1058.43,AED,2023-07-21T14:50:03,approved,0
298,326,34,2306.3,USD,2025-02-17T17:41:20,approved,0
299,400,105,517.83,USD,2022-07-02T10:22:39,approved,0
300,495,30,950.97,USD,2022-07-05T20:25:20,approved,0
301,388,49,608.04,QAR,2024-09-21T11:21:51,approved,0
302,82,22,969.63,USD,2025-04-06T09:58:32,approved,0
303,388,72,1615.69,USD,2025-11-25T02:12:05,approved,0
304,449,85,1215.1,USD,2023-11-28T17:22:25,approved,0
305,433,95,2444.09,QAR,2023-08-25T19:36:05,approved,0
306,423,6,739.22,USD,2023-07-15T00:31:14,approved,0
307,126,113,679.05,EUR,2023-03-19T04:00:18,approved,1
308,314,62,2514.12,USD,2025-02-02T18:12:26,approved,0
309,205,81,1727.22,QAR,2024-03-03T23:16:45,approved,0
310,411,34,1295.08,USD,2023-04-26T10:34:22,approved,0
311,165,111,2482.69,GBP,2025-01-07T18:08:06,reversed,0
312,260,91,1428.26,USD,2025-05-22T07:46:22,approved,0
313,284,106,2955.26,USD,2025-03-22T01:29:39,approved,0
314,34,22,68.3,USD,2025-08-24T01:57:22,approved,0
315,33,88,1064.53,AED,2023-07-20T18:16:57,approved,0
316,252,56,2113.25,QAR,2024-03-22T06:42:28,approved,0
317,156,43,699.23,GBP,2024-11-06T13:09:49,approved,0
318,162,111,22.31,EUR,2025-12-29T11:37:07,approved,0
319,33,68,1242.31,USD,2023-02-03T07:38:49,approved,0
320,93,4,1948.92,USD,2022-09-02T10:05:06,declined,0
321,486,88,1163.58,USD,2025-11-27T15:08:54,approved,0
322,182,23,2122.37,QAR,2024-10-20T02:11:16,approved,0
323,332,82,246.54,USD,2022-07-12T16:16:01,approved,0
324,286,8,2048.76,USD,2022-01-04T16:00:00,approved,0
325,410,116,1705.1,USD,2022-05-23T05:12:40,approved,0
326,112,45,292.7,EUR,2022-11-13T19:23:36,approved,0
327,434,113,2316.41,USD,2024-06-30T00:39:02,declined,0
328,407,16,2422.0,USD,2023-08-20T03:22:43,approved,0
329,461,13,1493.96,EUR,2025-06-09T10:29:59,approved,0
330,402,58,2832.15,EUR,2022-05-15T10:15:23,approved,0
331,252,25,2382.57,USD,2022-05-01T15:51:53,declined,0
332,430,76,298.14,USD,2025-09-20T20:20:58,approved,0
333,273,67,1183.77,USD,2023-02-16T09:20:08,approved,0
334,484,81,1280.1,USD,2022-06-18T15:01:31,approved,0
335,313,50,919.08,AED,2023-08-12T21:44:03,approved,0
336,485,12,922.75,EUR,2025-03-15T17:11:41,approved,0
337,15,7,2900.37,USD,2023-12-22T17:03:52,approved,0
338,379,66,1572.91,USD,2024-01-30T21:44:02,declined,0
339,487,24,2677.28,GBP,2022-05-30T22:13:31,approved,0
340,8,6,2766.41,USD,2025-11-12T03:59:18,approved,0
341,417,118,2494.25,AED,2024-03-09T07:23:58,approved,0
342,73,77,740.03,EUR,2024-05-15T21:36:45,approved,0
343,105,113,1960.7,QAR,2024-04-18T22:00:26,approved,0
344,432,116,570.11,GBP,2023-06-04T19:00:40,approved,0
345,393,58,388.41,EUR,2022-05-25T20:07:07,approved,0
346,35,24,1611.75,USD,2023-06-10T21:45:59,approved,0
347,147,37,2566.81,USD,2022-09-02T12:52:56,declined,0
348,285,109,1494.91,USD,2022-03-15T15:30:06,approved,0
349,199,24,252.66,EUR,2022-05-19T07:27:39,approved,0
350,227,77,2307.84,EUR,2024-10-28T06:49:13,approved,0
351,8,20,1025.36,AED,2022-12-26T11:29:12,declined,0
352,195,20,2840.57,USD,2023-04-07T05:40:12,approved,0
353,13,112,1322.71,QAR,2025-05-17T16:18:35,approved,0
354,163,8,335.87,USD,2024-11-26T17:01:39,approved,0
355,165,48,117.21,QAR,2025-11-02T07:00:24,approved,0
356,199,99,1701.73,QAR,2025-07-10T01:36:34,approved,0
357,467,61,2811.76,EUR,2023-08-02T21:39:24,approved,0
358,350,63,1838.6,USD,2025-07-27T14:30:58,declined,0
359,451,47,673.07,USD,2022-12-24T12:16:56,approved,0
360,222,104,900.97,USD,2024-04-20T22:56:34,approved,0
361,65,108,1880.25,USD,2024-04-11T13:56:26,approved,0
362,488,50,1391.62,USD,2025-09-24T12:08:46,approved,0
363,365,25,1706.02,QAR,2025-09-12T19:23:57,approved,0
364,406,53,1125.7,USD,2024-03-15T04:30:06,approved,0
365,464,107,2867.29,QAR,2024-04-24T01:12:13,approved,0
366,338,50,2811.49,USD,2024-06-26T00:44:13,approved,0
367,140,96,2042.53,GBP,2025-08-06T12:36:50,approved,0
368,163,60,738.6,GBP,2024-09-23T10:39:59,approved,0
369,322,113,107.83,USD,2022-05-14T02:01:00,declined,0
370,170,110,271.66,QAR,2024-01-01T06:47:09,declined,0
371,34,47,1870.45,USD,2024-07-03T15:21:45,approved,0
372,411,72,481.12,QAR,2022-12-01T13:07:34,declined,0
373,288,71,1886.79,EUR,2023-07-30T22:54:57,approved,0
374,485,19,2727.74,USD,2022-03-22T04:56:24,approved,0
375,393,3,1759.35,AED,2024-01-13T14:37:36,approved,0
376,497,63,2839.92,EUR,2023-11-27T02:56:23,approved,0
377,154,87,1182.06,USD,2025-10-01T06:40:20,approved,0
378,403,11,1065.43,AED,2024-10-10T00:39:57,approved,0
379,187,109,759.64,USD,2024-12-01T00:31:20,declined,0
380,123,90,921.3,USD,2024-06-05T10:02:17,approved,0
381,235,85,242.57,EUR,2022-09-25T19:00:47,approved,0
382,103,116,1411.42,USD,2025-11-24T21:17:44,approved,0
383,263,110,2980.97,USD,2025-12-19T10:08:22,approved,0
384,251,37,801.48,QAR,2025-10-07T02:51:42,declined,0
385,459,15,70.98,USD,2022-08-08T07:04:11,approved,0
386,411,31,2337.07,QAR,2022-01-20T23:00:47,approved,0
387,317,10,470.42,EUR,2024-08-01T20:55:21,approved,0
388,63,8,2113.03,USD,2022-06-16T05:05:45,declined,1
389,406,88,700.76,USD,2022-06-12T12:20:40,approved,0
390,102,91,2963.81,EUR,2023-01-17T15:18:46,approved,0
391,32,57,556.41,USD,2022-12-27T06:16:09,approved,0
392,97,90,373.78,GBP,2023-01-21T05:54:20,approved,0
393,203,82,2508.45,USD,2024-04-24T16:40:18,approved,0
394,177,95,723.83,USD,2025-10-31T08:18:48,approved,0
395,253,45,2708.28,USD,2024-05-30T02:43:48,declined,0
396,382,87,266.52,EUR,2024-01-11T22:43:38,approved,0
397,135,94,2519.5,USD,2024-09-10T11:31:19,approved,0
398,382,25,685.88,USD,2025-11-15T11:26:29,approved,0
399,408,109,2835.75,USD,2024-08-09T14:09:09,approved,0
400,487,4,2620.34,GBP,2024-02-21T20:09:25,approved,0
401,419,85,2716.28,USD,2023-01-12T06:06:01,approved,0
402,173,26,67.0,USD,2023-09-14T17:17:14,approved,0
403,256,56,1306.45,QAR,2024-09-25T21:03:22,reversed,0
404,166,91,1431.15,USD,2023-04-27T16:31:51,approved,0
405,490,40,1895.26,USD,2023-09-29T21:39:27,approved,0
406,272,37,1024.61,USD,2025-11-11T04:23:36,reversed,0
407,229,48,1252.17,USD,2023-10-31T22:14:58,approved,0
408,469,116,2917.64,GBP,2025-02-10T10:36:50,approved,0
409,66,42,2345.22,EUR,2023-04-14T22:37:39,approved,0
410,251,73,1410.32,USD,2024-11-12T03:24:48,approved,0
411,271,63,1389.14,QAR,2023-06-29T02:28:24,approved,0
412,142,92,430.96,QAR,2022-05-01T15:15:14,approved,0
413,423,80,1448.69,USD,2023-07-13T10:31:20,approved,0
414,422,104,1938.23,AED,2025-05-08T19:07:18,approved,0
415,100,68,2396.95,USD,2024-02-10T13:44:52,approved,0
416,105,19,889.72,USD,2025-08-11T13:05:23,approved,0
417,76,58,1878.42,EUR,2025-05-01T14:48:20,approved,0
418,142,26,2119.48,USD,2022-11-30T18:08:20,declined,0
419,445,42,1658.62,USD,2023-10-08T23:24:35,approved,0
420,166,51,535.64,EUR,2022-03-12T20:18:20,approved,0
421,453,66,169.47,GBP,2022-09-28T15:04:59,approved,0
422,268,21,2820.49,USD,2024-01-08T11:21:05,approved,0
423,253,52,1636.24,USD,2025-08-07T12:44:09,approved,0
424,107,58,478.86,GBP,2023-06-19T07:15:03,approved,0
425,27,83,2528.99,USD,2022-03-28T01:14:48,approved,0
426,446,18,1502.75,USD,2025-07-23T21:25:01,approved,0
427,13,86,2144.8,USD,2022-05-20T01:12:37,approved,0
428,252,1,1049.45,USD,2024-01-24T16:57:53,approved,0
429,275,1,2745.77,GBP,2023-07-31T08:35:23,approved,0
430,104,97,1823.64,USD,2023-11-01T08:25:07,approved,0
431,229,78,2903.27,EUR,2024-04-10T06:11:07,approved,0
432,381,120,2622.95,USD,2025-03-13T23:47:19,approved,0
433,454,76,2453.95,USD,2022-04-22T20:40:14,approved,0
