account_id,account_type_id,branch_id,opened_by_employee_id,opened_date,closed_date,current_balance,available_balance,status
37,1,8,8,2023-02-05,,14663.34,14420.28,active
38,3,3,30,2023-04-22,,7586.85,7418.9,active
39,3,3,13,2017-02-02,,974.21,789.98,active
40,2,1,37,2022-11-26,,35039.87,34801.07,active
41,1,4,21,2020-02-18,,24218.94,23929.17,active
42,2,10,46,2016-04-12,,30676.82,30432.7,active
43,2,2,45,2022-07-15,,14921.69,14866.78,active
44,2,7,12,2019-09-29,,34518.36,34324.78,active
45,1,3,1,2017-02-05,,2207.37,2099.66,active
46,4,7,27,2021-04-19,,-2522.43,-2522.43,active
47,2,3,15,2015-12-05,,10636.74,10626.93,active
48,4,8,8,2021-05-05,,-3602.19,-3602.19,active
49,4,9,49,2024-03-26,,-1945.71,-1945.71,active
50,1,7,3,2016-02-24,,12000.35,11737.91,active
51,4,2,14,2019-12-04,,-1504.89,-1504.89,active
52,3,6,14,2024-08-27,,7882.07,7840.3,active
53,2,6,19,2020-12-20,,15844.51,15633.29,active
54,3,2,56,2016-07-09,,45897.82,45600.07,active
55,4,3,54,2017-10-19,,-6019.56,-6019.56,active
56,1,10,57,2022-02-03,,22325.58,22135.49,active
57,2,12,38,2018-02-13,,22462.13,22315.72,active
58,3,8,14,2022-02-13,,2698.2,2537.87,active
59,2,5,32,2018-08-15,,28685.65,28515.81,active
60,4,1,8,2015-07-08,,-4323.35,-4323.35,active
61,2,8,57,2015-01-03,,49782.55,49509.73,active
62,4,5,58,2016-01-18,,-5025.25,-5025.25,active
63,2,11,7,2018-06-05,,21176.16,21148.8,active
64,2,4,56,2020-10-28,,34627.65,34382.52,frozen
65,2,2,57,2017-07-26,,4672.57,4578.56,active
66,4,3,1,2022-03-12,,-3755.93,-3755.93,active
67,2,6,29,2023-02-07,,45954.65,45769.83,active
68,1,3,51,2023-06-10,,17252.55,17123.73,active
69,1,9,55,2021-09-27,,38837.97,38630.83,active
70,1,9,58,2021-10-21,,14424.87,14408.5,active
71,2,7,1,2016-04-06,,3086.11,2819.49,active
72,1,7,31,2024-08-26,,27090.99,27039.16,active
73,1,1,51,2021-08-02,,1511.26,1493.12,active
74,3,12,35,2020-08-14,,19815.01,19622.85,active
75,1,5,26,2015-11-20,,40307.03,40146.11,active
76,4,11,55,2022-08-21,,-4500.11,-4500.11,active
77,1,7,48,2016-04-20,,15119.15,14896.64,active
78,2,6,48,2020-11-12,,12591.97,12480.41,active
79,3,2,17,2023-08-26,,21180.89,21023.73,active
80,3,2,24,2020-07-25,,24730.31,24560.24,active
81,3,9,3,2015-01-11,2020-02-21,120.55,120.55,closed
82,1,3,27,2024-08-13,2029-05-23,45654.36,45432.16,closed
83,2,12,58,2018-08-03,,18326.81,18176.2,active
84,2,2,36,2024-11-01,,42164.75,42066.56,active
85,1,5,32,2021-04-28,,11750.49,11640.01,active
86,1,12,27,2021-02-16,,-177.92,-177.92,active
87,1,1,34,2023-07-06,,36224.36,36193.18,active
88,2,1,34,2016-08-06,,46024.36,45755.17,active
89,2,12,38,2015-12-14,,31679.39,31561.08,active
90,3,3,54,2017-08-27,,46265.12,46147.23,active
91,2,5,10,2017-08-14,,38886.82,38711.41,active
92,2,2,55,2021-01-04,,22321.81,22182.81,active
93,4,12,10,2022-10-25,,-1147.41,-1147.41,active
94,2,1,55,2022-08-05,,8280.32,7994.69,active
95,2,4,54,2016-01-23,,6559.55,6555.96,active
96,1,4,38,2024-03-27,,46847.53,46822.32,active
97,1,2,54,2017-03-20,,6003.97,5732.45,active
98,1,8,2,2015-07-27,,40995.11,40876.61,active
99,1,6,40,2017-05-29,,22023.58,21978.99,active
100,3,5,9,2020-08-05,,2579.44,2495.51,active
101,4,9,25,2017-10-17,,-1641.23,-1641.23,active
102,2,9,12,2023-10-06,,24870.86,24754.35,active
103,4,5,38,2015-08-28,,-5140.54,-5140.54,active
104,1,4,49,2022-05-14,,39457.48,39236.36,active
105,2,7,21,2018-12-24,,8272.46,8201.49,active
106,1,10,13,2015-04-26,,28166.39,28123.76,active
107,2,5,34,2016-12-20,,11247.48,11181.84,active
108,2,4,21,2024-01-17,,45898.43,45645.14,active
109,4,2,46,2024-06-29,,-7419.75,-7419.75,active
110,2,2,51,2018-10-10,,7453.95,7169.34,active
111,3,6,23,2016-12-14,,44424.81,44240.7,active
112,4,3,47,2019-03-30,,-6981.21,-6981.21,active
113,4,10,40,2015-05-13,,-1529.54,-1529.54,active
114,1,8,41,2016-07-30,,17013.91,16918.05,active
115,4,12,17,2022-07-07,,-4426.96,-4426.96,active
116,1,6,27,2017-11-17,,1931.45,1799.98,active
117,2,7,42,2018-12-09,,23714.21,23454.99,active
118,1,8,7,2015-10-29,,513.94,435.6,active
119,3,2,58,2021-02-18,,16566.5,16270.92,active
120,2,11,13,2016-11-06,,2204.57,2105.24,active
121,3,12,37,2021-01-21,,11496.19,11481.3,active
122,1,1,39,2019-01-17,2019-10-23,14374.75,14176.14,closed
123,1,4,51,2016-11-30,,23415.32,23380.67,active
124,3,5,12,2016-01-09,,18236.54,18122.11,active
125,2,8,43,2017-12-14,,2612.79,2387.12,active
126,4,10,27,2017-07-20,,-1452.76,-1452.76,active
127,4,8,58,2021-06-03,,-7368.36,-7368.36,active
128,2,10,49,2020-10-17,,30823.79,30787.71,active
129,1,4,53,2016-05-31,2017-02-15,49408.14,49277.52,closed
130,1,6,21,2023-02-26,,19099.01,18979.8,active
131,2,1,10,2023-10-27,,38975.13,38941.37,active
132,1,10,27,2023-09-29,,26549.49,26446.33,active
133,2,10,44,2021-10-30,,19850.18,19664.71,active
134,2,6,2,2022-09-29,,46002.17,45733.06,active
135,1,5,9,2024-06-14,,4459.98,4199.31,active
136,2,6,59,2018-01-08,,4008.99,3876.48,active
137,2,9,46,2024-09-22,,39470.26,39450.57,active
138,4,9,13,2024-11-10,,-998.56,-998.56,active
139,1,8,33,2015-07-27,,13335.86,13088.81,active
140,3,1,38,2017-09-17,,8467.98,8206.84,active
141,1,5,55,2023-05-26,,886.25,871.35,active
142,4,4,33,2022-04-05,,-2787.3,-2787.3,active
143,2,3,20,2022-04-05,,10800.39,10617.89,active
144,3,5,20,2019-10-02,,22679.4,22613.94,active
145,2,10,36,2016-02-24,2020-02-19,48307.52,48055.71,closed
146,1,5,56,2022-09-04,,49412.23,49220.05,active
147,3,11,55,2018-05-08,,11635.25,11618.22,active
148,2,11,17,2018-08-02,,32597.73,32298.49,active
149,2,12,46,2015-05-25,,40708.74,40605.79,active
150,3,8,36,2022-07-14,,8084.33,7887.05,active
151,3,6,51,2022-05-04,,37082.6,36990.47,active
152,1,10,38,2018-04-19,,2210.69,2020.37,active
153,2,4,56,2020-08-11,,26256.84,26132.91,active
154,1,6,56,2019-08-04,,49325.79,49282.82,active
155,1,8,18,2018-09-24,,31542.2,31540.79,active
156,1,10,28,2023-07-29,,38877.5,38838.68,active
157,2,8,1,2019-04-20,2022-07-26,9570.42,9458.49,closed
158,4,9,16,2017-02-19,2017-06-07,-2986.5,-2986.5,closed
159,1,3,20,2016-02-25,,7934.52,7687.37,active
160,3,9,58,2021-09-08,,34182.4,34142.26,active
161,1,3,47,2024-02-08,,36222.03,36182.67,active
162,1,12,40,2022-04-18,,31836.21,31604.84,active
163,3,1,31,2015-07-17,,18702.82,18538.64,active
164,3,11,18,2022-01-25,2024-09-12,32914.06,32715.32,closed
165,1,7,51,2024-04-25,,30693.75,30608.94,active
166,4,5,19,2024-04-28,,-2372.51,-2372.51,active
167,1,1,10,2015-02-22,,41679.22,41478.51,active
168,2,2,19,2023-02-11,,32039.01,31901.98,active
169,1,3,28,2024-10-20,2026-09-15,17690.84,17487.81,closed
170,4,1,23,2015-02-09,,-6635.9,-6635.9,active
171,1,12,30,2016-01-16,,5248.52,5128.44,active
172,3,8,47,2023-12-21,,7922.33,7882.58,active
173,2,8,40,2023-12-31,,30371.82,30138.07,active
174,2,8,1,2016-04-07,,2698.47,2501.98,active
175,2,12,34,2021-06-19,,47765.95,47504.01,active
176,2,2,25,2019-11-08,,16960.35,16757.46,active
177,1,11,49,2016-10-04,,24539.66,24490.04,active
178,1,5,6,2015-07-26,,18621.2,18376.07,active
179,2,2,2,2024-08-09,,49023.87,48800.3,active
180,4,2,33,2023-11-18,,-5563.22,-5563.22,active
181,3,8,36,2018-10-28,,10757.36,10621.02,active
182,2,12,1,2022-05-15,,4420.57,4222.9,active
183,4,5,11,2021-02-21,,-7633.78,-7633.78,active
184,3,12,26,2019-08-04,,8970.94,8691.88,active
185,3,6,8,2016-03-17,,31478.64,31277.0,active
186,2,11,4,2021-08-10,,24690.85,24531.74,active
187,4,10,45,2020-06-01,,-718.55,-718.55,active
188,4,3,33,2016-02-29,,-938.43,-938.43,active
189,2,12,52,2023-07-20,,16814.37,16726.12,active
190,4,12,41,2021-02-21,,-515.9,-515.9,active
191,2,12,12,2018-04-05,,6199.92,5986.8,active
192,3,6,43,2022-12-19,,23758.68,23587.49,active
193,3,9,7,2018-03-17,,144.91,144.91,active
194,1,5,4,2023-05-31,,34011.21,33967.28,active
195,1,9,36,2015-05-13,,30613.5,30410.84,active
196,3,9,43,2019-05-12,,39840.5,39754.21,active
197,4,11,13,2018-07-04,,-2050.64,-2050.64,active
198,4,8,24,2024-04-22,,-2323.64,-2323.64,active
199,3,10,44,2017-03-15,,14355.97,14302.74,active
200,2,1,1,2019-10-22,,7626.91,7373.11,active
201,1,1,54,2016-09-21,,38569.88,38382.27,active
202,4,10,15,2021-03-03,,-5457.13,-5457.13,active
203,1,9,14,2016-10-14,,4143.25,4076.89,active
204,1,5,49,2017-06-13,,23480.29,23311.89,active
205,1,11,3,2018-11-18,,30491.91,30305.57,active
206,2,2,50,2019-04-30,,747.64,592.58,active
207,2,8,7,2015-06-29,,15675.79,15651.09,active
208,1,11,35,2022-01-22,,20922.58,20891.4,active
209,4,7,2,2022-04-02,,-2511.65,-2511.65,active
210,1,2,53,2015-10-28,2020-07-19,12221.35,12200.22,closed
211,2,7,35,2020-01-22,,352.99,151.0,active
212,4,12,60,2021-07-26,2026-08-06,-7419.28,-7419.28,closed
213,4,11,25,2018-05-19,,-586.47,-586.47,active
214,1,8,35,2016-10-02,,19245.12,19005.87,active
215,1,5,1,2022-08-06,,43290.52,43096.14,active
216,1,2,6,2015-06-21,2019-02-01,19401.13,19236.87,closed
217,3,12,12,2018-11-09,,42498.67,42455.93,active
218,1,2,36,2017-01-12,,2246.61,2021.3,active
219,1,5,22,2022-07-14,,36142.26,35996.1,active
220,3,4,22,2016-02-14,,9271.68,9125.92,active
221,3,10,1,2016-09-16,,15474.82,15346.33,active
222,3,12,57,2022-03-09,,6282.44,6062.55,active
223,1,5,55,2020-06-17,,30134.7,29882.16,active
224,1,5,33,2023-03-24,,3307.7,3302.11,active
225,2,7,35,2023-08-17,,27355.5,27192.46,active
226,1,6,30,2019-05-27,,36527.95,36440.65,active
227,2,6,40,2020-08-18,2022-03-30,42323.08,42081.12,closed
228,2,3,10,2020-01-02,,28073.53,27811.87,active
229,1,1,43,2017-06-15,,12850.03,12779.82,active
230,2,8,34,2020-02-06,,32250.5,32219.53,active
231,4,12,25,2017-12-14,,-4986.72,-4986.72,active
232,4,2,26,2020-10-17,,-6216.81,-6216.81,active
233,2,8,5,2024-12-12,,6517.9,6468.22,active
234,1,3,27,2017-02-04,,40756.23,40557.9,active
235,1,8,2,2022-07-28,,7642.94,7392.93,active
236,2,10,11,2016-10-21,,44485.28,44441.22,active
237,2,7,53,2021-09-20,,43864.7,43646.31,active
238,1,8,39,2021-10-20,,8113.62,7864.51,active
239,2,11,38,2020-09-23,,16804.9,16668.86,active
240,1,1,39,2017-04-08,,34060.58,33812.63,active
241,4,9,58,2020-08-23,,-2724.86,-2724.86,active
242,4,11,45,2022-04-13,,-1001.41,-1001.41,active
243,4,8,59,2023-11-09,,-1563.03,-1563.03,active
244,2,2,19,2019-10-09,,11241.9,10984.18,active
245,2,5,8,2017-02-13,2021-07-24,39365.84,39192.44,closed
246,3,4,38,2022-09-18,,4882.45,4754.63,active
247,2,10,36,2019-02-06,,19571.43,19510.32,active
248,1,6,46,2021-04-09,,14985.98,14882.67,active
249,4,11,11,2016-05-02,,-2405.51,-2405.51,active
250,4,9,41,2021-11-20,,-6714.1,-6714.1,active
251,2,7,25,2015-12-28,,3542.01,3530.68,active
252,2,11,12,2020-11-04,,2401.88,2169.8,active
253,1,4,39,2024-07-15,,13943.33,13933.25,active
254,1,10,6,2016-11-25,,32578.47,32285.78,active
255,2,6,5,2022-07-05,,25646.01,25424.93,active
256,1,12,15,2024-04-21,,17047.49,16802.84,active
257,2,7,5,2021-06-12,2022-09-13,20060.3,20028.36,closed
258,1,9,25,2017-11-21,,28532.14,28323.88,active
259,1,6,8,2023-09-12,,29134.74,29126.53,active
260,3,4,35,2022-08-04,,20327.51,20221.58,active
261,1,7,21,2022-07-22,,27504.85,27451.3,active
262,1,3,48,2023-05-15,,24699.47,24639.57,active
263,1,4,8,2017-04-10,,17479.38,17245.7,active
264,3,8,31,2021-11-19,2026-12-18,26844.43,26831.75,closed
265,2,10,26,2024-09-28,,38095.25,37941.91,active
266,1,1,26,2020-11-23,,26808.78,26658.04,active
267,1,8,14,2016-05-08,,34305.13,34301.58,active
268,1,6,40,2021-11-14,,12773.88,12693.06,active
269,2,7,29,2017-05-12,,17936.44,17816.26,active
270,3,5,48,2024-01-07,,18734.61,18690.86,active
271,2,3,17,2024-07-11,,15444.23,15298.24,active
272,1,7,41,2016-02-10,,40597.81,40454.85,active
273,1,6,23,2021-04-14,,16879.08,16755.55,active
274,1,10,21,2021-06-16,,48958.34,48872.96,active
275,4,12,41,2020-01-05,,-5707.81,-5707.81,active
276,3,6,11,2019-09-24,,42369.49,42348.09,active
277,1,11,50,2018-04-08,,19470.49,19204.18,active
278,3,10,47,2020-11-03,,8786.25,8779.32,active
279,3,12,57,2023-05-29,,4701.97,4682.83,active
280,1,7,42,2020-11-16,,12753.84,12707.26,active
281,1,4,11,2017-10-10,,5883.79,5725.77,active
282,4,8,29,2020-03-28,,-5820.68,-5820.68,active
283,2,10,41,2020-02-14,,27981.22,27824.18,active
284,2,9,20,2017-07-19,,17972.06,17894.12,active
285,1,5,20,2020-04-05,,24342.55,24115.91,active
286,4,1,26,2021-02-23,,-3515.57,-3515.57,active
287,3,11,34,2019-05-16,,3500.09,3312.49,active
288,4,12,18,2022-09-05,,-3744.45,-3744.45,active
289,1,3,32,2018-04-01,,22364.75,22154.61,active
290,1,5,6,2018-01-07,,-85.69,-85.69,active
291,4,8,54,2019-03-02,,-5358.01,-5358.01,active
292,1,5,17,2023-09-13,,8670.99,8402.28,active
293,1,12,13,2017-10-16,,11981.69,11683.33,active
294,1,9,21,2022-06-20,,33912.84,33819.21,active
295,2,11,8,2018-05-08,,43114.71,43049.37,active
296,1,1,3,2016-11-16,,19488.32,19415.39,active
297,2,12,44,2021-09-08,,12060.47,11910.49,active
298,3,1,32,2015-09-02,,26585.84,26553.62,active
299,4,11,2,2023-06-27,,-2134.49,-2134.49,active
300,3,3,45,2017-10-23,,21593.75,21505.34,active
301,1,9,56,2018-11-25,,43316.92,43137.32,active
302,2,3,41,2020-01-15,,18039.19,18038.97,active
303,1,1,43,2021-12-13,,11558.72,11342.42,active
304,1,9,42,2022-08-30,,30458.48,30361.7,active
305,2,11,7,2015-10-01,2016-09-30,8521.26,8511.88,closed
306,1,10,17,2022-03-13,,26053.98,25843.59,active
307,1,4,4,2022-05-09,,3537.82,3297.51,active
308,2,6,5,2023-11-28,,12923.69,12911.49,active
309,1,9,43,2016-02-02,,18959.22,18901.28,active
310,1,9,44,2023-05-27,,38197.31,38024.34,active
311,2,2,35,2016-11-14,,24986.99,24789.73,active
312,1,6,28,2021-03-03,,18271.84,18042.58,active
313,2,4,24,2021-04-25,,27287.05,27063.68,active
314,2,1,57,2023-02-22,2025-01-04,29586.02,29430.74,closed
315,1,4,59,2024-08-06,,47139.07,46892.37,active
316,2,10,57,2016-09-25,,7383.41,7303.91,active
317,1,5,21,2016-01-12,,10480.58,10457.42,active
318,2,12,47,2022-11-18,,29559.18,29469.06,active
319,1,1,8,2023-08-24,,21432.37,21153.3,active
320,3,11,20,2024-07-11,,38759.64,38644.89,frozen
321,2,10,26,2016-09-04,,7236.47,7034.38,active
322,2,10,22,2020-08-29,,39211.6,39167.2,active
323,2,7,9,2017-12-11,,38578.17,38539.06,active
324,2,7,16,2022-04-25,,49852.48,49695.21,active
325,3,10,23,2016-01-02,,17946.02,17888.87,active
326,4,5,29,2016-11-24,,-78.73,-78.73,active
327,1,4,48,2017-03-28,,36288.58,36262.84,active
328,1,6,48,2022-10-12,,23295.11,23195.55,active
329,2,9,45,2023-06-01,,36361.14,36318.74,active
330,2,11,45,2020-11-27,2022-02-18,2535.56,2475.35,closed
331,2,11,24,2015-02-04,,32980.57,32706.71,active
332,1,11,21,2019-05-03,,48818.9,48789.02,active
333,2,2,3,2017-02-02,,27814.72,27600.98,active
334,1,6,41,2020-06-29,,17012.39,16906.82,active
335,1,1,36,2022-01-07,,49997.57,49700.46,active
336,1,6,40,2019-05-29,,18801.46,18513.28,active
337,1,7,29,2017-09-11,,15275.33,15093.72,active
338,3,3,46,2021-07-07,,43060.68,42967.98,active
339,2,3,47,2022-05-11,,15533.56,15366.36,active
340,4,6,48,2024-11-14,,-5573.22,-5573.22,active
341,3,5,40,2016-09-14,,8829.7,8600.97,active
342,2,10,50,2017-08-03,,817.27,793.43,active
343,4,10,32,2020-04-04,,-1182.96,-1182.96,active
344,1,4,15,2015-05-13,,46234.47,45949.41,active
345,4,4,40,2015-09-28,,-4485.72,-4485.72,active
346,4,8,48,2024-12-14,,-7665.39,-7665.39,active
347,1,7,46,2021-11-09,,26576.05,26383.63,active
348,1,8,26,2020-02-15,,49789.74,49634.13,active
349,2,7,57,2020-10-15,,9087.44,8955.57,active
350,2,3,30,2019-09-27,,34342.62,34071.52,active
351,1,12,9,2020-08-12,,46861.04,46652.21,active
352,2,1,6,2017-01-02,,44737.64,44472.88,active
353,3,12,41,2023-12-07,,4105.16,3893.29,active
354,3,7,25,2023-02-25,,47462.57,47348.97,active
355,1,3,29,2017-01-02,,15057.14,14838.09,active
356,1,3,55,2017-04-10,2021-11-02,12282.1,12144.51,closed
357,2,8,39,2017-09-01,,22413.79,22281.23,active
358,2,5,4,2021-12-13,,9985.7,9930.25,active
359,1,1,7,2022-06-25,,16221.11,16194.8,active
360,1,11,12,2018-03-10,,29545.93,29309.74,active
361,2,6,5,2015-05-27,,18112.76,17999.08,active
362,1,5,34,2020-04-12,,13358.14,13200.02,active
363,2,1,47,2016-03-23,,26211.8,26185.5,active
364,1,7,60,2021-10-29,,28544.71,28357.74,active
365,2,3,2,2024-11-28,,48952.51,48952.04,active
366,3,4,52,2023-12-20,,1797.36,1692.46,active
367,3,4,21,2022-09-27,,15042.51,14890.5,active
368,3,6,13,2018-10-30,,47985.7,47736.09,active
369,3,8,58,2020-04-27,,23815.52,23627.36,active
370,2,7,21,2023-04-30,2026-07-10,14616.86,14399.37,closed
371,1,10,10,2022-09-08,,39687.03,39667.17,active
372,1,7,8,2022-01-10,,30087.3,30031.09,active
373,1,12,16,2024-08-14,,20400.41,20251.29,active
374,1,9,6,2018-05-23,,1388.45,1327.82,active
375,4,8,56,2020-08-10,,-4132.22,-4132.22,active
376,1,3,9,2023-08-18,,46870.2,46667.18,active
377,2,7,55,2023-01-02,,15204.56,15191.35,active
378,1,8,2,2024-12-21,2028-03-01,38192.1,37968.43,closed
379,3,4,43,2018-08-07,,26379.93,26148.09,active
380,1,1,18,2021-12-26,,26897.7,26732.89,active
381,1,2,31,2018-06-29,,21904.21,21865.19,active
382,1,7,41,2015-08-09,,35086.22,34818.84,active
383,2,10,35,2018-12-27,,35501.38,35300.12,active
384,2,3,44,2016-01-16,,23147.93,23011.25,active
385,2,8,24,2017-08-07,,44732.89,44655.47,active
386,3,6,8,2023-11-05,,24119.09,24099.48,active
387,4,3,7,2018-03-02,,-6980.85,-6980.85,active
388,4,2,30,2018-08-27,,-5583.05,-5583.05,active
389,1,10,53,2017-09-25,,18882.73,18780.52,active
390,4,7,43,2021-05-12,,-6110.77,-6110.77,active
391,3,10,53,2024-05-20,,22876.88,22710.35,active
392,2,2,32,2021-09-16,,38452.84,38339.17,active
393,1,4,49,2024-02-29,,37626.92,37383.97,active
394,2,10,51,2021-06-25,,43809.98,43720.06,active
395,2,12,55,2018-11-11,,30380.28,30227.15,active
396,2,1,56,2015-01-04,,17641.85,17383.48,active
397,3,6,31,2022-12-25,,27028.5,26829.75,active
398,4,7,1,2016-09-23,,-6995.61,-6995.61,active
399,3,7,51,2016-07-10,,20500.7,20363.89,active
400,2,3,12,2020-02-05,,22227.31,22120.72,active
401,2,8,37,2024-06-30,,13097.15,12819.18,active
402,2,8,47,2022-11-27,,48067.76,48043.74,active
403,4,5,16,2020-03-19,,-3119.44,-3119.44,active
404,3,11,58,2015-11-16,,28771.24,28587.33,active
405,1,8,52,2020-02-03,,36557.63,36431.33,active
406,1,12,31,2021-09-13,,27967.17,27948.74,active
407,1,11,33,2018-04-10,,13984.19,13959.44,active
408,2,5,38,2018-02-01,,5133.24,5080.86,frozen
409,2,6,34,2024-01-22,,11427.89,11373.65,active
410,1,3,50,2021-09-05,,24545.39,24247.31,active
411,2,12,17,2022-02-24,,42012.57,41996.27,active
412,1,3,35,2020-03-15,,37180.6,36954.87,active
413,3,7,52,2020-04-27,,21454.08,21367.44,active
414,1,9,55,2022-08-29,,26330.31,26224.16,active
415,4,5,38,2018-10-04,,-5957.25,-5957.25,active
416,3,12,45,2017-09-17,,9343.75,9242.53,active
417,2,1,7,2022-07-18,2023-03-14,104.05,104.05,closed
418,2,6,4,2017-06-17,,1219.11,1033.29,active
419,4,4,55,2021-09-21,,-7040.18,-7040.18,active
420,3,11,19,2021-05-07,,5097.68,5042.4,active
421,3,8,17,2018-02-06,,33212.75,32981.71,active
422,2,6,60,2015-09-04,,8485.44,8464.62,active
423,1,11,7,2020-07-08,,21278.31,21094.12,active
424,1,2,58,2015-05-23,,12155.12,12021.36,active
425,3,1,37,2015-06-04,,34852.79,34581.4,active
426,2,7,1,2019-07-13,,39161.78,38999.74,active
427,4,8,44,2016-05-11,,-5128.65,-5128.65,active
428,3,11,49,2016-01-07,,16673.17,16420.82,active
429,1,3,25,2021-03-21,2023-08-24,32867.07,32777.41,closed
430,3,6,13,2020-06-15,,36633.87,36591.89,active
431,2,2,29,2023-11-22,,26463.97,26213.69,active
432,1,6,42,2015-08-18,,19978.15,19914.65,active
433,3,9,32,2016-09-02,,3137.69,2917.05,active
434,2,1,20,2017-09-21,,8198.57,8183.58,active
435,2,10,39,2016-11-30,,40782.25,40748.0,active
436,1,4,8,2019-10-12,,36765.38,36644.78,active
437,2,3,22,2018-08-10,,38093.51,37915.58,active
438,1,12,7,2019-02-24,,46246.61,46234.4,active
439,2,7,60,2023-09-21,,3576.49,3574.32,active
440,2,12,18,2024-01-21,,5908.07,5865.14,active
441,1,3,6,2021-11-05,,35718.54,35534.93,active
442,1,7,40,2015-01-19,,49323.48,49030.44,active
443,2,9,8,2017-06-17,,10009.49,9993.57,active
444,4,8,42,2020-07-30,,-7655.08,-7655.08,active
445,2,5,4,2018-10-01,,22383.96,22352.63,active
446,1,1,38,2020-06-09,,11382.64,11249.19,active
447,3,11,27,2018-08-27,,11002.99,10931.85,active
448,1,2,40,2020-04-13,,21511.19,21446.34,active
449,1,3,9,2020-02-18,,48765.57,48704.91,active
450,1,2,19,2024-07-20,,37897.15,37831.19,active
451,2,3,32,2021-06-25,,3866.95,3609.86,active
452,2,8,16,2024-05-21,,21119.57,20857.79,frozen
453,1,10,31,2016-09-02,,20597.48,20584.21,active
454,1,7,32,2020-12-15,,34681.0,34651.6,active
455,4,1,19,2022-10-10,,-6938.3,-6938.3,active
456,1,8,2,2022-07-03,,42825.07,42600.88,active
457,4,3,41,2024-10-20,,-1027.59,-1027.59,active
458,1,11,49,2015-10-17,,26311.48,26222.5,active
459,2,10,60,2023-11-29,,30832.99,30732.28,active
460,1,7,46,2019-02-06,,18004.87,17810.42,active
461,1,6,56,2017-09-04,,36737.69,36512.01,active
462,4,12,44,2023-07-14,,-5861.14,-5861.14,active
463,1,6,35,2018-11-15,,41392.77,41251.72,active
464,1,8,57,2021-12-18,,34507.77,34214.34,active
465,2,3,10,2018-03-27,,7820.69,7787.08,active
466,2,11,23,2015-04-03,,26842.47,26802.86,active
467,3,1,34,2018-04-09,,40000.45,39749.97,frozen
468,2,6,54,2022-05-09,,29464.54,29255.48,active
469,1,10,24,2016-06-24,,39358.02,39289.99,active
470,4,1,60,2016-08-30,,-6669.1,-6669.1,active
471,1,4,24,2016-04-23,2018-05-11,28513.52,28381.25,closed
472,1,6,26,2020-01-11,,14728.77,14452.64,active
473,1,8,42,2018-08-04,,27080.35,26928.13,active
474,1,10,45,2022-06-24,,45297.48,45164.85,active
475,3,9,6,2016-04-23,,41964.28,41830.49,active
476,3,4,6,2021-07-17,,38238.3,38179.59,active
477,3,11,33,2015-12-24,,24268.5,24087.55,active
478,1,7,23,2016-08-28,,18998.69,18995.03,active
479,4,9,27,2015-12-25,,-2067.78,-2067.78,active
480,1,12,10,2019-10-03,,41693.33,41513.95,active
481,4,9,6,2018-10-05,,-1951.09,-1951.09,active
482,1,9,25,2020-03-07,,6414.82,6359.02,active
483,1,5,51,2024-05-11,,36862.73,36795.37,active
484,1,11,16,2022-06-20,,24340.27,24133.92,active
485,1,10,44,2023-05-12,,21521.46,21444.09,active
