payment_id,loan_id,due_date,paid_date,amount_due,amount_paid,principal_component,interest_component,late_fee,status
26,3,2018-05-06,2018-05-06,538.19,538.19,291.8,246.39,0.0,paid
27,3,2018-06-05,2018-06-05,538.19,538.19,367.62,170.57,0.0,paid
28,3,2018-07-05,2018-07-05,538.19,538.19,282.75,255.44,0.0,paid
29,3,2018-08-04,2018-08-04,538.19,538.19,396.18,142.01,0.0,on_time
30,3,2018-09-03,2018-09-03,538.19,538.19,378.74,159.45,0.0,paid
31,3,2018-10-03,2018-10-03,538.19,538.19,267.62,270.57,0.0,paid
32,3,2018-11-02,2018-11-02,538.19,538.19,300.15,238.04,0.0,on_time
33,3,2018-12-02,2018-12-02,538.19,538.19,404.44,133.75,0.0,paid
34,3,2019-01-01,2019-01-01,538.19,538.19,253.75,284.44,0.0,paid
35,3,2019-01-31,,538.19,,,,72.94,missed
36,3,2019-03-02,2019-03-02,538.19,538.19,281.38,256.81,0.0,paid
37,3,2019-04-01,2019-04-06,538.19,538.19,269.66,268.53,45.41,late
38,3,2019-05-01,2019-05-01,538.19,538.19,305.58,232.61,0.0,on_time
39,4,2023-12-21,2023-12-21,254.01,254.01,187.21,66.8,0.0,paid
40,4,2024-01-20,2024-01-20,254.01,254.01,184.25,69.76,0.0,paid
41,4,2024-02-19,2024-02-19,254.01,254.01,180.03,73.98,0.0,on_time
42,5,2017-08-09,2017-08-09,652.89,652.89,319.75,333.14,0.0,paid
43,5,2017-09-08,2017-09-08,652.89,652.89,364.44,288.45,0.0,on_time
44,5,2017-10-08,2017-10-08,652.89,652.89,268.74,384.15,0.0,on_time
45,6,2017-08-22,2017-08-25,553.13,553.13,392.32,160.81,59.99,late
46,6,2017-09-21,2017-09-21,553.13,553.13,433.96,119.17,0.0,on_time
47,6,2017-10-21,2017-10-21,553.13,553.13,364.53,188.6,0.0,paid
48,6,2017-11-20,,553.13,,,,25.89,missed
49,6,2017-12-20,2017-12-20,553.13,553.13,265.89,287.24,0.0,paid
50,6,2018-01-19,2018-01-26,553.13,553.13,355.93,197.2,36.9,late
51,6,2018-02-18,2018-03-07,553.13,553.13,249.1,304.03,16.2,late
52,7,2025-01-02,2025-01-02,595.44,595.44,474.21,121.23,0.0,paid
53,7,2025-02-01,2025-02-18,595.44,595.44,389.17,206.27,69.81,late
54,7,2025-03-03,2025-03-03,595.44,595.44,301.32,294.12,0.0,paid
55,8,2024-04-22,,587.91,,,,37.23,missed
56,8,2024-05-22,2024-05-22,587.91,587.91,383.77,204.14,0.0,on_time
57,8,2024-06-21,2024-07-11,587.91,587.91,370.15,217.76,55.5,late
58,8,2024-07-21,2024-07-21,587.91,587.91,443.12,144.79,0.0,on_time
59,8,2024-08-20,2024-08-20,587.91,587.91,397.72,190.19,0.0,paid
60,8,2024-09-19,2024-09-19,587.91,587.91,407.89,180.02,0.0,paid
61,8,2024-10-19,2024-10-23,587.91,587.91,391.7,196.21,65.34,late
62,8,2024-11-18,2024-11-18,587.91,587.91,301.94,285.97,0.0,paid
63,8,2024-12-18,2024-12-18,587.91,587.91,438.11,149.8,0.0,on_time
64,8,2025-01-17,2025-01-17,587.91,587.91,377.31,210.6,0.0,paid
65,8,2025-02-16,2025-02-16,587.91,587.91,462.27,125.64,0.0,paid
66,8,2025-03-18,2025-03-18,587.91,587.91,340.84,247.07,0.0,paid
67,8,2025-04-17,2025-04-17,587.91,587.91,364.63,223.28,0.0,paid
68,8,2025-05-17,2025-05-27,587.91,587.91,409.23,178.68,41.8,late
69,8,2025-06-16,2025-06-28,587.91,587.91,306.96,280.95,41.17,late
70,8,2025-07-16,2025-07-19,587.91,587.91,398.7,189.21,44.52,late
71,8,2025-08-15,2025-08-15,587.91,587.91,343.24,244.67,0.0,on_time
72,8,2025-09-14,2025-09-24,587.91,587.91,271.0,316.91,61.32,late
73,8,2025-10-14,2025-10-14,587.91,587.91,470.08,117.83,0.0,on_time
74,8,2025-11-13,2025-11-13,587.91,587.91,468.04,119.87,0.0,paid
75,8,2025-12-13,,587.91,,,,25.02,missed
76,9,2021-04-23,2021-04-23,735.43,735.43,370.18,365.25,0.0,paid
77,9,2021-05-23,2021-06-05,735.43,735.43,332.86,402.57,48.52,late
78,9,2021-06-22,2021-06-22,735.43,735.43,557.74,177.69,0.0,on_time
79,9,2021-07-22,2021-07-22,735.43,735.43,425.44,309.99,0.0,paid
80,9,2021-08-21,2021-08-21,735.43,735.43,322.62,412.81,0.0,paid
81,10,2021-04-16,2021-04-16,512.5,512.5,222.23,290.27,0.0,paid
82,10,2021-05-16,2021-05-16,512.5,512.5,252.82,259.68,0.0,paid
83,10,2021-06-15,2021-06-21,512.5,512.5,371.42,141.08,34.73,late
84,10,2021-07-15,2021-07-15,512.5,512.5,398.36,114.14,0.0,paid
85,10,2021-08-14,2021-08-14,512.5,512.5,273.76,238.74,0.0,on_time
86,10,2021-09-13,2021-09-13,512.5,512.5,242.08,270.42,0.0,paid
87,10,2021-10-13,2021-10-13,512.5,512.5,329.48,183.02,0.0,on_time
88,10,2021-11-12,2021-11-12,512.5,512.5,257.29,255.21,0.0,paid
89,10,2021-12-12,2021-12-12,512.5,512.5,256.58,255.92,0.0,on_time
90,10,2022-01-11,2022-01-11,512.5,512.5,368.02,144.48,0.0,on_time
91,10,2022-02-10,2022-02-13,512.5,512.5,386.01,126.49,71.8,late
92,10,2022-03-12,2022-03-12,512.5,512.5,258.52,253.98,0.0,on_time
93,10,2022-04-11,2022-04-11,512.5,512.5,218.07,294.43,0.0,paid
94,10,2022-05-11,2022-05-11,512.5,512.5,278.07,234.43,0.0,paid
95,10,2022-06-10,2022-06-10,512.5,512.5,213.49,299.01,0.0,on_time
96,10,2022-07-10,2022-07-10,512.5,512.5,320.83,191.67,0.0,paid
97,10,2022-08-09,2022-08-09,512.5,512.5,248.56,263.94,0.0,on_time
98,10,2022-09-08,2022-09-08,512.5,512.5,379.86,132.64,0.0,paid
99,10,2022-10-08,2022-10-08,512.5,512.5,273.22,239.28,0.0,on_time
100,10,2022-11-07,2022-11-07,512.5,512.5,242.45,270.05,0.0,on_time
101,11,2021-11-12,2021-11-12,168.5,168.5,69.79,98.71,0.0,on_time
102,11,2021-12-12,2021-12-18,168.5,168.5,96.18,72.32,23.66,late
103,11,2022-01-11,2022-01-11,168.5,168.5,101.63,66.87,0.0,on_time
104,11,2022-02-10,2022-02-10,168.5,168.5,79.02,89.48,0.0,on_time
105,11,2022-03-12,2022-03-12,168.5,168.5,76.16,92.34,0.0,on_time
106,11,2022-04-11,2022-04-11,168.5,168.5,81.74,86.76,0.0,on_time
107,11,2022-05-11,2022-05-11,168.5,168.5,77.91,90.59,0.0,paid
108,11,2022-06-10,2022-06-10,168.5,168.5,114.83,53.67,0.0,on_time
109,11,2022-07-10,2022-07-10,168.5,168.5,80.12,88.38,0.0,paid
110,11,2022-08-09,2022-08-09,168.5,168.5,123.6,44.9,0.0,paid
111,11,2022-09-08,2022-09-08,168.5,168.5,80.47,88.03,0.0,paid
112,11,2022-10-08,2022-10-08,168.5,168.5,95.04,73.46,0.0,paid
113,11,2022-11-07,2022-11-07,168.5,168.5,102.17,66.33,0.0,on_time
114,11,2022-12-07,2022-12-14,168.5,168.5,106.83,61.67,16.25,late
115,11,2023-01-06,,168.5,,,,25.14,missed
116,11,2023-02-05,2023-02-05,168.5,168.5,132.29,36.21,0.0,paid
117,11,2023-03-07,2023-03-07,168.5,168.5,112.58,55.92,0.0,on_time
118,11,2023-04-06,2023-04-23,168.5,168.5,116.37,52.13,61.19,late
119,11,2023-05-06,2023-05-06,168.5,168.5,129.73,38.77,0.0,on_time
120,11,2023-06-05,,168.5,,,,67.82,missed
121,11,2023-07-05,2023-07-23,168.5,168.5,75.52,92.98,61.25,late
122,11,2023-08-04,2023-08-04,168.5,168.5,88.73,79.77,0.0,on_time
123,12,2020-01-21,2020-01-21,48.09,48.09,36.94,11.15,0.0,paid
124,12,2020-02-20,2020-02-20,48.09,48.09,26.32,21.77,0.0,on_time
125,12,2020-03-21,2020-04-09,48.09,48.09,35.77,12.32,16.91,late
126,12,2020-04-20,2020-04-20,48.09,48.09,19.42,28.67,0.0,on_time
127,12,2020-05-20,2020-05-20,48.09,48.09,29.64,18.45,0.0,on_time
128,12,2020-06-19,2020-06-19,48.09,48.09,32.62,15.47,0.0,on_time
129,12,2020-07-19,2020-07-19,48.09,48.09,33.9,14.19,0.0,paid
130,12,2020-08-18,2020-08-18,48.09,48.09,33.79,14.3,0.0,on_time
131,12,2020-09-17,2020-10-07,48.09,48.09,35.21,12.88,49.37,late
132,12,2020-10-17,2020-10-19,48.09,48.09,37.49,10.6,69.6,late
133,12,2020-11-16,2020-11-16,48.09,48.09,24.23,23.86,0.0,paid
134,12,2020-12-16,2020-12-16,48.09,48.09,22.49,25.6,0.0,paid
135,12,2021-01-15,2021-01-15,48.09,48.09,25.53,22.56,0.0,paid
136,12,2021-02-14,2021-02-14,48.09,48.09,28.31,19.78,0.0,paid
137,12,2021-03-16,2021-03-27,48.09,48.09,25.79,22.3,50.21,late
138,12,2021-04-15,2021-04-15,48.09,48.09,27.35,20.74,0.0,paid
139,12,2021-05-15,2021-05-15,48.09,48.09,38.45,9.64,0.0,paid
140,12,2021-06-14,2021-07-03,48.09,48.09,21.13,26.96,72.83,late
141,13,2018-01-16,2018-01-16,230.18,230.18,138.66,91.52,0.0,paid
142,13,2018-02-15,2018-02-15,230.18,230.18,170.66,59.52,0.0,paid
143,13,2018-03-17,2018-03-17,230.18,230.18,140.33,89.85,0.0,paid
144,13,2018-04-16,2018-04-16,230.18,230.18,140.5,89.68,0.0,paid
145,13,2018-05-16,2018-05-16,230.18,230.18,98.7,131.48,0.0,on_time
146,13,2018-06-15,2018-06-15,230.18,230.18,141.87,88.31,0.0,on_time
147,13,2018-07-15,2018-07-15,230.18,230.18,138.18,92.0,0.0,on_time
148,14,2020-11-04,2020-11-18,123.09,123.09,91.11,31.98,53.09,late
149,14,2020-12-04,2020-12-04,123.09,123.09,74.69,48.4,0.0,on_time
150,14,2021-01-03,2021-01-03,123.09,123.09,60.2,62.89,0.0,paid
151,14,2021-02-02,2021-02-06,123.09,123.09,50.78,72.31,53.3,late
152,14,2021-03-04,2021-03-04,123.09,123.09,66.16,56.93,0.0,on_time
153,15,2019-01-23,2019-01-23,423.46,423.46,183.83,239.63,0.0,paid
154,15,2019-02-22,2019-02-22,423.46,423.46,320.72,102.74,0.0,on_time
155,15,2019-03-24,2019-03-24,423.46,423.46,318.69,104.77,0.0,on_time
156,15,2019-04-23,2019-04-23,423.46,423.46,320.44,103.02,0.0,paid
157,15,2019-05-23,2019-06-04,423.46,423.46,202.86,220.6,74.39,late
158,15,2019-06-22,2019-06-22,423.46,423.46,287.5,135.96,0.0,paid
159,15,2019-07-22,2019-07-22,423.46,423.46,294.28,129.18,0.0,on_time
160,15,2019-08-21,2019-08-21,423.46,423.46,313.07,110.39,0.0,paid
161,15,2019-09-20,2019-09-20,423.46,423.46,190.34,233.12,0.0,paid
162,15,2019-10-20,2019-10-26,423.46,423.46,219.51,203.95,57.79,late
163,15,2019-11-19,,423.46,,,,45.09,missed
164,15,2019-12-19,2019-12-19,423.46,423.46,231.26,192.2,0.0,on_time
165,15,2020-01-18,2020-01-18,423.46,423.46,170.68,252.78,0.0,paid
166,15,2020-02-17,2020-02-19,423.46,423.46,263.11,160.35,32.33,late
167,15,2020-03-18,2020-03-18,423.46,423.46,207.26,216.2,0.0,paid
168,15,2020-04-17,2020-04-17,423.46,423.46,183.22,240.24,0.0,on_time
169,15,2020-05-17,2020-05-17,423.46,423.46,190.68,232.78,0.0,paid
170,15,2020-06-16,2020-06-16,423.46,423.46,295.42,128.04,0.0,paid
171,15,2020-07-16,2020-07-16,423.46,423.46,267.68,155.78,0.0,on_time
172,15,2020-08-15,2020-08-15,423.46,423.46,213.23,210.23,0.0,on_time
173,15,2020-09-14,2020-09-14,423.46,423.46,296.01,127.45,0.0,paid
174,15,2020-10-14,2020-10-14,423.46,423.46,314.57,108.89,0.0,paid
175,15,2020-11-13,2020-11-13,423.46,423.46,194.95,228.51,0.0,paid
176,16,2018-05-15,,988.89,,,,49.09,missed
177,16,2018-06-14,,988.89,,,,48.28,missed
178,16,2018-07-14,2018-07-14,988.89,988.89,613.57,375.32,0.0,paid
179,16,2018-08-13,2018-08-22,988.89,988.89,466.24,522.65,25.37,late
180,16,2018-09-12,2018-09-12,988.89,988.89,747.21,241.68,0.0,on_time
181,16,2018-10-12,,988.89,,,,25.75,missed
182,16,2018-11-11,2018-11-11,988.89,988.89,562.84,426.05,0.0,paid
183,16,2018-12-11,2018-12-11,988.89,988.89,503.9,484.99,0.0,on_time
184,16,2019-01-10,2019-01-10,988.89,988.89,398.6,590.29,0.0,paid
185,16,2019-02-09,2019-02-09,988.89,988.89,761.14,227.75,0.0,paid
186,16,2019-03-11,,988.89,,,,62.94,missed
187,16,2019-04-10,2019-04-10,988.89,988.89,670.48,318.41,0.0,paid
188,16,2019-05-10,2019-05-10,988.89,988.89,480.85,508.04,0.0,paid
189,16,2019-06-09,2019-06-09,988.89,988.89,581.01,407.88,0.0,paid
190,16,2019-07-09,,988.89,,,,25.66,missed
191,16,2019-08-08,2019-08-08,988.89,988.89,573.09,415.8,0.0,on_time
192,16,2019-09-07,2019-09-07,988.89,988.89,688.59,300.3,0.0,on_time
193,16,2019-10-07,2019-10-07,988.89,988.89,630.36,358.53,0.0,paid
194,16,2019-11-06,2019-11-06,988.89,988.89,654.19,334.7,0.0,on_time
195,16,2019-12-06,2019-12-06,988.89,988.89,629.93,358.96,0.0,paid
196,17,2024-04-12,2024-04-19,478.71,478.71,351.96,126.75,36.29,late
197,17,2024-05-12,2024-05-12,478.71,478.71,258.32,220.39,0.0,paid
198,17,2024-06-11,2024-06-11,478.71,478.71,372.06,106.65,0.0,paid
199,17,2024-07-11,2024-07-11,478.71,478.71,312.72,165.99,0.0,paid
200,17,2024-08-10,2024-08-10,478.71,478.71,337.45,141.26,0.0,paid
201,17,2024-09-09,2024-09-09,478.71,478.71,371.38,107.33,0.0,paid
202,17,2024-10-09,2024-10-09,478.71,478.71,243.64,235.07,0.0,paid
203,17,2024-11-08,2024-11-08,478.71,478.71,296.97,181.74,0.0,paid
204,17,2024-12-08,2024-12-08,478.71,478.71,201.83,276.88,0.0,paid
205,17,2025-01-07,2025-01-13,478.71,478.71,284.69,194.02,17.07,late
206,17,2025-02-06,2025-02-06,478.71,478.71,308.24,170.47,0.0,paid
207,17,2025-03-08,2025-03-08,478.71,478.71,335.58,143.13,0.0,paid
208,18,2018-10-25,2018-10-25,287.7,287.7,154.33,133.37,0.0,paid
209,18,2018-11-24,2018-11-24,287.7,287.7,164.07,123.63,0.0,paid
210,18,2018-12-24,2019-01-02,287.7,287.7,229.29,58.41,42.91,late
211,18,2019-01-23,2019-02-03,287.7,287.7,217.63,70.07,34.89,late
212,18,2019-02-22,2019-02-22,287.7,287.7,205.54,82.16,0.0,paid
213,18,2019-03-24,2019-03-24,287.7,287.7,152.28,135.42,0.0,paid
214,18,2019-04-23,2019-04-23,287.7,287.7,220.22,67.48,0.0,paid
215,18,2019-05-23,2019-05-23,287.7,287.7,197.07,90.63,0.0,paid
216,18,2019-06-22,2019-07-10,287.7,287.7,138.43,149.27,26.83,late
217,18,2019-07-22,2019-07-22,287.7,287.7,229.19,58.51,0.0,paid
218,18,2019-08-21,2019-08-29,287.7,287.7,224.04,63.66,46.74,late
219,18,2019-09-20,2019-09-20,287.7,287.7,161.24,126.46,0.0,on_time
220,18,2019-10-20,2019-10-20,287.7,287.7,128.26,159.44,0.0,on_time
221,18,2019-11-19,2019-11-19,287.7,287.7,156.86,130.84,0.0,on_time
222,18,2019-12-19,2019-12-19,287.7,287.7,115.77,171.93,0.0,on_time
223,18,2020-01-18,2020-02-01,287.7,287.7,140.19,147.51,20.4,late
224,18,2020-02-17,2020-02-17,287.7,287.7,203.67,84.03,0.0,paid
225,18,2020-03-18,2020-03-18,287.7,287.7,201.89,85.81,0.0,paid
226,18,2020-04-17,2020-04-30,287.7,287.7,212.22,75.48,27.43,late
227,18,2020-05-17,2020-06-04,287.7,287.7,173.3,114.4,67.55,late
228,18,2020-06-16,2020-06-16,287.7,287.7,168.97,118.73,0.0,on_time
229,19,2019-08-13,2019-08-13,1393.45,1393.45,721.71,671.74,0.0,on_time
230,19,2019-09-12,2019-09-12,1393.45,1393.45,734.84,658.61,0.0,paid
231,19,2019-10-12,2019-10-12,1393.45,1393.45,1023.24,370.21,0.0,on_time
232,19,2019-11-11,2019-11-11,1393.45,1393.45,790.12,603.33,0.0,paid
233,19,2019-12-11,2019-12-26,1393.45,1393.45,909.73,483.72,23.65,late
234,19,2020-01-10,2020-01-10,1393.45,1393.45,558.58,834.87,0.0,paid
235,19,2020-02-09,2020-02-09,1393.45,1393.45,652.44,741.01,0.0,on_time
236,19,2020-03-10,2020-03-10,1393.45,1393.45,1069.98,323.47,0.0,paid
237,20,2024-08-13,,289.38,,,,36.98,missed
238,20,2024-09-12,2024-09-12,289.38,289.38,139.49,149.89,0.0,paid
239,20,2024-10-12,2024-10-12,289.38,289.38,189.05,100.33,0.0,paid
240,20,2024-11-11,,289.38,,,,45.19,missed
241,20,2024-12-11,2024-12-28,289.38,289.38,186.19,103.19,45.29,late
242,20,2025-01-10,2025-01-10,289.38,289.38,208.28,81.1,0.0,paid
243,20,2025-02-09,2025-02-28,289.38,289.38,175.92,113.46,21.71,late
244,20,2025-03-11,2025-03-11,289.38,289.38,186.7,102.68,0.0,on_time
245,20,2025-04-10,2025-04-10,289.38,289.38,211.89,77.49,0.0,paid
246,20,2025-05-10,2025-05-10,289.38,289.38,166.73,122.65,0.0,paid
247,20,2025-06-09,2025-06-09,289.38,289.38,228.47,60.91,0.0,paid
248,20,2025-07-09,2025-07-15,289.38,289.38,138.57,150.81,53.8,late
249,20,2025-08-08,2025-08-08,289.38,289.38,225.06,64.32,0.0,paid
250,20,2025-09-07,2025-09-07,289.38,289.38,160.59,128.79,0.0,on_time
251,20,2025-10-07,2025-10-07,289.38,289.38,212.77,76.61,0.0,on_time
252,20,2025-11-06,2025-11-06,289.38,289.38,204.66,84.72,0.0,paid
253,20,2025-12-06,2025-12-06,289.38,289.38,159.23,130.15,0.0,on_time
254,20,2026-01-05,2026-01-05,289.38,289.38,135.51,153.87,0.0,paid
255,20,2026-02-04,2026-02-04,289.38,289.38,122.92,166.46,0.0,paid
256,21,2019-02-28,2019-02-28,378.52,378.52,214.26,164.26,0.0,on_time
257,21,2019-03-30,2019-03-30,378.52,378.52,277.02,101.5,0.0,on_time
258,21,2019-04-29,2019-04-29,378.52,378.52,216.6,161.92,0.0,paid
259,21,2019-05-29,2019-06-08,378.52,378.52,211.66,166.86,37.81,late
260,21,2019-06-28,2019-06-28,378.52,378.52,230.97,147.55,0.0,paid
261,21,2019-07-28,2019-07-28,378.52,378.52,177.73,200.79,0.0,on_time
262,22,2020-11-03,2020-11-23,171.81,171.81,68.77,103.04,31.57,late
263,22,2020-12-03,2020-12-03,171.81,171.81,92.42,79.39,0.0,paid
264,22,2021-01-02,,171.81,,,,32.24,missed
265,22,2021-02-01,2021-02-17,171.81,171.81,98.44,73.37,44.89,late
266,22,2021-03-03,2021-03-03,171.81,171.81,93.48,78.33,0.0,on_time
267,22,2021-04-02,2021-04-02,171.81,171.81,122.18,49.63,0.0,on_time
268,22,2021-05-02,,171.81,,,,54.57,missed
269,22,2021-06-01,2021-06-01,171.81,171.81,110.09,61.72,0.0,paid
270,22,2021-07-01,2021-07-01,171.81,171.81,95.41,76.4,0.0,on_time
271,22,2021-07-31,2021-07-31,171.81,171.81,70.72,101.09,0.0,on_time
272,22,2021-08-30,2021-09-06,171.81,171.81,127.34,44.47,53.1,late
273,22,2021-09-29,2021-09-29,171.81,171.81,112.89,58.92,0.0,paid
274,22,2021-10-29,2021-11-05,171.81,171.81,98.38,73.43,19.98,late
275,23,2019-04-12,2019-05-02,135.78,135.78,107.27,28.51,57.18,late
276,23,2019-05-12,2019-05-12,135.78,135.78,64.27,71.51,0.0,on_time
277,23,2019-06-11,2019-06-11,135.78,135.78,91.68,44.1,0.0,on_time
278,23,2019-07-11,2019-07-11,135.78,135.78,81.72,54.06,0.0,on_time
279,23,2019-08-10,2019-08-10,135.78,135.78,91.82,43.96,0.0,on_time
280,23,2019-09-09,2019-09-09,135.78,135.78,55.4,80.38,0.0,paid
281,23,2019-10-09,2019-10-09,135.78,135.78,65.66,70.12,0.0,paid
282,23,2019-11-08,2019-11-08,135.78,135.78,95.85,39.93,0.0,paid
283,23,2019-12-08,2019-12-18,135.78,135.78,71.39,64.39,49.84,late
284,23,2020-01-07,,135.78,,,,61.82,missed
285,23,2020-02-06,,135.78,,,,48.84,missed
286,23,2020-03-07,2020-03-07,135.78,135.78,98.25,37.53,0.0,on_time
287,23,2020-04-06,2020-04-06,135.78,135.78,91.92,43.86,0.0,paid
288,23,2020-05-06,2020-05-09,135.78,135.78,99.16,36.62,53.3,late
289,23,2020-06-05,2020-06-05,135.78,135.78,62.76,73.02,0.0,on_time
290,23,2020-07-05,2020-07-05,135.78,135.78,72.75,63.03,0.0,paid
291,24,2024-01-04,2024-01-04,276.17,276.17,154.46,121.71,0.0,on_time
292,24,2024-02-03,2024-02-03,276.17,276.17,195.39,80.78,0.0,on_time
293,24,2024-03-04,2024-03-23,276.17,276.17,209.52,66.65,35.9,late
294,24,2024-04-03,2024-04-03,276.17,276.17,117.0,159.17,0.0,on_time
295,24,2024-05-03,2024-05-03,276.17,276.17,150.08,126.09,0.0,paid
296,24,2024-06-02,2024-06-10,276.17,276.17,146.42,129.75,50.48,late
297,24,2024-07-02,2024-07-02,276.17,276.17,150.68,125.49,0.0,on_time
298,24,2024-08-01,2024-08-01,276.17,276.17,127.34,148.83,0.0,on_time
299,24,2024-08-31,2024-08-31,276.17,276.17,115.97,160.2,0.0,paid
300,24,2024-09-30,2024-09-30,276.17,276.17,188.96,87.21,0.0,paid
301,24,2024-10-30,2024-10-30,276.17,276.17,153.14,123.03,0.0,paid
302,24,2024-11-29,2024-11-29,276.17,276.17,205.6,70.57,0.0,on_time
303,24,2024-12-29,2025-01-12,276.17,276.17,207.46,68.71,19.03,late
304,24,2025-01-28,2025-01-28,276.17,276.17,115.88,160.29,0.0,paid
305,24,2025-02-27,2025-02-27,276.17,276.17,160.08,116.09,0.0,on_time
306,24,2025-03-29,2025-03-29,276.17,276.17,161.77,114.4,0.0,paid
307,25,2016-02-28,2016-02-28,345.63,345.63,171.78,173.85,0.0,on_time
308,25,2016-03-29,2016-03-29,345.63,345.63,249.13,96.5,0.0,paid
309,25,2016-04-28,2016-04-28,345.63,345.63,196.46,149.17,0.0,paid
310,25,2016-05-28,2016-06-13,345.63,345.63,163.12,182.51,53.65,late
311,25,2016-06-27,2016-06-27,345.63,345.63,217.09,128.54,0.0,paid
312,25,2016-07-27,2016-07-29,345.63,345.63,209.67,135.96,18.69,late
313,25,2016-08-26,2016-08-26,345.63,345.63,187.55,158.08,0.0,paid
314,25,2016-09-25,2016-09-25,345.63,345.63,270.82,74.81,0.0,paid
315,25,2016-10-25,,345.63,,,,46.98,missed
316,25,2016-11-24,2016-12-03,345.63,345.63,143.9,201.73,73.54,late
317,25,2016-12-24,2016-12-24,345.63,345.63,192.4,153.23,0.0,on_time
318,25,2017-01-23,,345.63,,,,35.81,missed
319,25,2017-02-22,2017-02-22,345.63,345.63,199.6,146.03,0.0,on_time
320,25,2017-03-24,2017-04-12,345.63,345.63,173.05,172.58,68.6,late
321,25,2017-04-23,2017-04-23,345.63,345.63,273.31,72.32,0.0,paid
322,25,2017-05-23,2017-05-23,345.63,345.63,248.77,96.86,0.0,paid
323,25,2017-06-22,2017-07-11,345.63,345.63,270.82,74.81,55.64,late
324,25,2017-07-22,2017-07-22,345.63,345.63,155.81,189.82,0.0,paid
325,25,2017-08-21,2017-08-21,345.63,345.63,264.64,80.99,0.0,on_time
326,25,2017-09-20,2017-09-27,345.63,345.63,255.19,90.44,21.87,late
327,25,2017-10-20,2017-10-25,345.63,345.63,171.58,174.05,40.36,late
328,25,2017-11-19,2017-11-19,345.63,345.63,245.51,100.12,0.0,paid
329,25,2017-12-19,,345.63,,,,46.45,missed
330,26,2020-02-22,2020-02-22,2069.42,2069.42,1588.58,480.84,0.0,paid
331,26,2020-03-23,2020-03-23,2069.42,2069.42,937.74,1131.68,0.0,on_time
332,26,2020-04-22,2020-04-22,2069.42,2069.42,896.89,1172.53,0.0,on_time
333,26,2020-05-22,2020-05-22,2069.42,2069.42,844.82,1224.6,0.0,on_time
334,26,2020-06-21,2020-06-21,2069.42,2069.42,1655.29,414.13,0.0,paid
335,27,2019-05-05,2019-05-05,343.42,343.42,185.68,157.74,0.0,paid
336,27,2019-06-04,2019-06-04,343.42,343.42,179.82,163.6,0.0,on_time
337,27,2019-07-04,2019-07-04,343.42,343.42,203.81,139.61,0.0,on_time
338,27,2019-08-03,2019-08-20,343.42,343.42,139.58,203.84,48.04,late
339,27,2019-09-02,2019-09-02,343.42,343.42,214.8,128.62,0.0,paid
340,27,2019-10-02,2019-10-02,343.42,343.42,139.09,204.33,0.0,on_time
341,27,2019-11-01,2019-11-16,343.42,343.42,210.8,132.62,18.47,late
342,27,2019-12-01,2019-12-01,343.42,343.42,248.07,95.35,0.0,paid
343,27,2019-12-31,,343.42,,,,22.13,missed
344,27,2020-01-30,2020-02-04,343.42,343.42,203.49,139.93,15.52,late
345,27,2020-02-29,2020-03-10,343.42,343.42,213.43,129.99,68.46,late
