transaction_id,account_id,txn_type_id,amount,currency_code,txn_datetime,description,related_transaction_id
88,468,2,-2929.14,USD,2025-08-18T12:49:59,ATM withdrawal,
89,102,6,4276.1,USD,2022-11-12T23:44:39,Interest credit,
90,42,6,2869.35,USD,2022-09-29T18:25:34,Interest credit,
91,393,2,-3238.78,USD,2024-05-24T23:47:31,ATM withdrawal,
92,464,6,1157.2,USD,2024-02-08T12:14:55,Interest credit,
93,382,2,-2378.18,USD,2024-04-05T00:01:50,ATM withdrawal,
94,464,5,-1842.09,USD,2023-06-10T00:41:35,Monthly fee,
95,283,1,3548.16,USD,2024-11-11T07:49:32,Deposit,
96,53,1,336.33,USD,2023-10-12T04:50:34,Deposit,
97,135,1,4053.7,USD,2025-08-08T15:38:00,Deposit,
98,510,6,4263.25,USD,2025-04-04T21:32:46,Interest credit,
99,550,6,622.5,USD,2024-11-23T05:23:26,Interest credit,
100,71,6,2134.83,USD,2022-03-24T05:35:41,Interest credit,
101,4,2,-4451.87,USD,2025-02-22T00:09:10,ATM withdrawal,
102,184,5,-1474.44,USD,2024-03-05T13:05:44,Monthly fee,
103,424,5,-466.97,USD,2025-12-02T11:35:27,Monthly fee,
104,408,6,4964.1,USD,2024-04-06T11:31:52,Interest credit,
105,54,5,-4535.12,USD,2025-01-20T16:12:12,Monthly fee,
106,180,2,-4928.09,USD,2025-10-11T23:33:16,ATM withdrawal,
107,26,1,940.28,USD,2024-03-20T19:04:29,Deposit,
108,415,5,-2882.17,USD,2024-01-19T14:28:56,Monthly fee,
109,304,2,-2223.98,USD,2023-10-08T18:35:16,ATM withdrawal,
110,57,6,134.03,USD,2023-10-22T09:29:09,Interest credit,
111,50,2,-2169.54,USD,2024-03-06T22:20:51,ATM withdrawal,
112,146,6,2299.26,USD,2025-05-01T08:57:30,Interest credit,
113,114,1,3509.79,USD,2024-04-19T17:02:31,Deposit,
114,238,1,3632.11,USD,2022-04-05T00:59:05,Deposit,
115,459,6,2352.0,USD,2024-02-24T21:02:03,Interest credit,
116,184,2,-73.56,USD,2025-08-20T07:44:44,ATM withdrawal,
117,441,5,-3866.0,USD,2023-03-21T16:10:08,Monthly fee,
118,255,5,-1601.28,USD,2022-10-16T00:38:19,Monthly fee,
119,104,2,-4961.71,USD,2023-11-20T20:45:25,ATM withdrawal,
120,191,1,743.61,USD,2022-02-17T05:23:16,Deposit,
121,27,5,-534.03,USD,2023-01-23T18:50:25,Monthly fee,
122,342,5,-1743.98,USD,2023-11-06T22:20:06,Monthly fee,
123,456,6,1600.89,USD,2025-06-10T17:14:26,Interest credit,
124,311,5,-135.46,USD,2025-05-12T20:56:11,Monthly fee,
125,418,2,-2558.62,USD,2025-06-15T15:23:43,ATM withdrawal,
126,503,2,-301.63,USD,2025-09-21T23:12:45,ATM withdrawal,
127,102,5,-3463.77,USD,2022-01-21T12:06:19,Monthly fee,
128,243,2,-2553.45,USD,2024-01-20T16:36:39,ATM withdrawal,
129,297,6,200.26,USD,2025-09-11T18:52:01,Interest credit,
130,425,1,2762.25,USD,2022-09-21T07:50:53,Deposit,
131,484,1,304.07,USD,2023-09-14T18:03:31,Deposit,
132,99,1,1121.74,USD,2024-05-14T08:27:34,Deposit,
133,56,6,3552.54,USD,2024-12-16T14:32:20,Interest credit,
134,27,2,-2995.98,USD,2022-10-19T20:51:29,ATM withdrawal,
135,496,1,1685.05,USD,2025-10-06T17:47:31,Deposit,
136,341,1,3596.02,USD,2024-11-04T22:53:39,Deposit,
137,350,2,-3652.29,USD,2023-05-31T05:53:36,ATM withdrawal,
138,463,1,1153.28,USD,2024-08-05T23:48:50,Deposit,
139,506,2,-1163.95,USD,2024-11-18T00:55:01,ATM withdrawal,
140,259,1,1284.67,USD,2023-02-01T05:41:58,Deposit,
141,428,5,-3180.18,USD,2022-09-10T00:52:16,Monthly fee,
142,137,2,-4071.23,USD,2022-01-29T01:57:44,ATM withdrawal,
143,397,5,-2734.24,USD,2022-12-23T22:58:44,Monthly fee,
144,195,2,-1301.4,USD,2024-09-22T16:04:39,ATM withdrawal,
145,235,5,-4295.27,USD,2022-07-10T02:57:18,Monthly fee,
146,449,5,-1986.91,USD,2023-10-07T15:14:10,Monthly fee,
147,325,1,3542.86,USD,2023-05-28T03:21:56,Deposit,
148,430,1,2284.7,USD,2023-01-24T02:11:17,Deposit,
149,232,2,-583.44,USD,2025-04-05T14:36:09,ATM withdrawal,
150,259,6,4052.48,USD,2025-12-05T12:07:29,Interest credit,
151,281,1,1145.98,USD,2025-07-27T22:13:45,Deposit,
152,39,1,3845.94,USD,2024-02-25T16:17:07,Deposit,
153,460,2,-2449.42,USD,2023-07-10T01:25:36,ATM withdrawal,
154,503,5,-1317.24,USD,2023-04-11T05:24:12,Monthly fee,
155,6,1,4020.79,USD,2023-10-18T01:58:35,Deposit,
156,135,2,-3068.59,USD,2023-02-18T01:37:09,ATM withdrawal,
157,149,1,3824.85,USD,2023-02-28T14:01:16,Deposit,
158,330,1,1086.81,USD,2024-11-19T13:01:31,Deposit,
159,169,5,-973.31,USD,2024-04-20T04:32:29,Monthly fee,
160,193,5,-1678.22,USD,2022-10-11T18:23:52,Monthly fee,
161,120,6,3371.33,USD,2022-10-26T17:46:21,Interest credit,
162,342,6,2498.62,USD,2023-05-11T03:24:57,Interest credit,
163,41,2,-2366.87,USD,2024-05-20T06:46:45,ATM withdrawal,
164,304,6,4076.82,USD,2024-01-11T23:25:58,Interest credit,
165,98,2,-2651.84,USD,2022-04-24T13:38:53,ATM withdrawal,
166,357,5,-3922.73,USD,2022-11-20T03:06:02,Monthly fee,
167,340,2,-400.02,USD,2022-08-14T10:24:51,ATM withdrawal,
168,401,6,3586.95,USD,2025-11-03T10:39:28,Interest credit,
169,108,2,-1344.54,USD,2022-08-21T04:38:09,ATM withdrawal,
170,550,1,47.87,USD,2022-12-12T06:35:40,Deposit,
171,333,2,-1271.26,USD,2025-06-23T12:20:44,ATM withdrawal,
172,367,5,-4825.13,USD,2022-03-30T16:20:20,Monthly fee,
173,268,5,-3005.09,USD,2025-07-18T22:54:02,Monthly fee,
174,397,1,1533.1,USD,2025-04-01T17:30:32,Deposit,
175,541,5,-3109.75,USD,2025-01-20T09:49:17,Monthly fee,
176,2,6,198.69,USD,2024-03-05T18:48:59,Interest credit,
177,36,5,-2982.66,USD,2022-04-10T11:43:41,Monthly fee,
178,136,1,4879.72,USD,2024-12-14T18:39:01,Deposit,
179,192,1,3976.85,USD,2024-10-14T14:31:12,Deposit,
180,53,1,1651.94,USD,2022-02-10T05:37:14,Deposit,
181,212,2,-4767.6,USD,2024-08-10T14:03:22,ATM withdrawal,
182,145,6,2893.46,USD,2023-12-25T07:34:19,Interest credit,
183,104,2,-4683.4,USD,2025-11-26T14:37:40,ATM withdrawal,
184,107,2,-721.51,USD,2023-03-28T07:08:44,ATM withdrawal,
185,367,5,-3853.69,USD,2025-11-14T00:19:48,Monthly fee,
186,81,6,868.15,USD,2023-07-18T05:08:06,Interest credit,
187,132,1,446.12,USD,2023-10-30T09:41:17,Deposit,
188,318,5,-81.83,USD,2025-10-19T09:48:26,Monthly fee,
189,75,1,3395.08,USD,2022-05-25T12:53:34,Deposit,
190,96,1,2476.31,USD,2023-05-21T15:31:43,Deposit,
191,502,2,-78.85,USD,2025-06-23T20:40:21,ATM withdrawal,
192,98,5,-3173.26,USD,2024-03-17T00:28:12,Monthly fee,
193,506,2,-289.81,USD,2022-03-23T07:40:11,ATM withdrawal,
194,306,1,1422.49,USD,2022-02-11T03:10:04,Deposit,
195,456,5,-4773.69,USD,2025-12-20T20:56:55,Monthly fee,
196,211,5,-1003.92,USD,2022-05-23T08:21:23,Monthly fee,
197,34,1,786.08,USD,2022-02-02T08:15:05,Deposit,
198,164,6,2683.04,USD,2024-05-20T13:29:28,Interest credit,
199,354,6,1470.83,USD,2025-06-03T16:49:42,Interest credit,
200,207,6,1214.18,USD,2022-11-05T01:36:18,Interest credit,
201,536,1,2035.2,USD,2023-12-28T06:05:56,Deposit,
202,2,6,4732.7,USD,2022-03-10T02:48:19,Interest credit,
203,390,1,4640.56,USD,2024-08-19T01:50:40,Deposit,
204,168,6,3488.76,USD,2023-04-13T19:08:17,Interest credit,
205,400,6,2693.12,USD,2023-04-19T02:19:44,Interest credit,
206,398,5,-792.66,USD,2022-03-01T16:51:33,Monthly fee,
207,180,2,-711.08,USD,2023-06-27T20:12:39,ATM withdrawal,
208,421,6,4258.72,USD,2023-09-17T22:42:28,Interest credit,
209,503,2,-4746.03,USD,2023-05-26T15:10:16,ATM withdrawal,
210,169,2,-3248.05,USD,2023-05-21T07:08:19,ATM withdrawal,
211,6,6,364.23,USD,2024-04-05T21:39:41,Interest credit,
212,296,6,105.36,USD,2024-03-22T18:52:58,Interest credit,
213,154,6,1265.2,USD,2024-01-30T00:59:23,Interest credit,
214,417,5,-3333.06,USD,2022-12-10T12:05:58,Monthly fee,
215,440,1,1002.5,USD,2023-04-01T20:48:33,Deposit,
216,73,2,-3825.45,USD,2025-02-21T01:11:20,ATM withdrawal,
217,402,2,-421.43,USD,2024-06-25T08:30:27,ATM withdrawal,
218,49,5,-3664.55,USD,2022-04-30T09:09:17,Monthly fee,
219,112,5,-736.59,USD,2025-10-19T13:20:24,Monthly fee,
220,159,6,356.32,USD,2024-03-20T01:16:25,Interest credit,
221,305,2,-138.06,USD,2022-02-25T14:10:19,ATM withdrawal,
222,475,6,4466.37,USD,2025-11-13T00:58:22,Interest credit,
223,224,1,4202.71,USD,2025-06-17T22:30:48,Deposit,
224,542,2,-2313.72,USD,2024-09-05T12:24:50,ATM withdrawal,
225,230,6,2364.66,USD,2024-09-13T05:19:49,Interest credit,
226,181,5,-848.53,USD,2024-11-10T09:50:44,Monthly fee,
227,74,2,-4233.55,USD,2025-09-28T15:40:26,ATM withdrawal,
228,109,2,-3771.56,USD,2024-10-30T04:27:06,ATM withdrawal,
229,164,5,-4173.49,USD,2025-04-09T19:55:53,Monthly fee,
230,473,6,3048.28,USD,2025-05-14T09:42:53,Interest credit,
231,518,1,2916.23,USD,2025-11-20T01:26:45,Deposit,
232,125,2,-4235.21,USD,2023-12-12T12:05:46,ATM withdrawal,
233,11,5,-4565.2,USD,2025-02-18T13:30:53,Monthly fee,
234,193,2,-1621.5,USD,2024-12-03T12:32:17,ATM withdrawal,
235,534,1,155.85,USD,2022-11-24T08:29:04,Deposit,
236,397,5,-4580.5,USD,2025-06-14T06:40:54,Monthly fee,
237,549,6,4463.39,USD,2022-05-23T05:01:21,Interest credit,
238,270,1,1777.38,USD,2022-09-21T16:01:46,Deposit,
239,496,6,4402.8,USD,2023-09-06T14:49:30,Interest credit,
240,8,1,2104.55,USD,2025-04-05T12:08:58,Deposit,
241,17,2,-3318.72,USD,2023-01-31T12:08:31,ATM withdrawal,
242,32,6,1859.02,USD,2023-05-15T21:35:04,Interest credit,
243,214,6,2702.57,USD,2023-11-09T12:44:08,Interest credit,
244,207,5,-1476.65,USD,2023-04-08T11:41:59,Monthly fee,
245,70,2,-2943.99,USD,2022-02-09T09:23:34,ATM withdrawal,
246,426,2,-3540.95,USD,2023-12-27T19:59:23,ATM withdrawal,
247,142,5,-4085.86,USD,2022-04-09T10:54:02,Monthly fee,
248,59,5,-4139.14,USD,2022-06-29T23:50:01,Monthly fee,
249,409,6,3821.75,USD,2022-01-26T11:35:32,Interest credit,
250,46,5,-2845.99,USD,2025-08-06T08:13:37,Monthly fee,
251,516,1,1687.73,USD,2024-12-14T20:32:15,Deposit,
252,167,2,-4734.76,USD,2024-09-28T01:10:07,ATM withdrawal,
253,110,6,2716.77,USD,2024-03-10T12:42:52,Interest credit,
254,45,2,-4091.06,USD,2025-06-01T21:44:11,ATM withdrawal,
255,538,1,1290.25,USD,2024-11-02T19:25:58,Deposit,
256,359,6,4302.06,USD,2025-04-22T21:54:06,Interest credit,
257,494,1,4773.61,USD,2024-01-20T08:43:48,Deposit,
258,193,6,4016.81,USD,2022-05-22T10:15:35,Interest credit,
259,226,2,-4742.93,USD,2024-03-06T20:54:49,ATM withdrawal,
260,313,5,-2953.59,USD,2023-08-03T14:44:18,Monthly fee,
261,235,1,1167.74,USD,2025-08-09T04:27:29,Deposit,
262,275,5,-4007.56,USD,2024-06-08T23:55:04,Monthly fee,
263,112,5,-4667.66,USD,2024-03-28T17:41:04,Monthly fee,
264,419,1,2983.29,USD,2024-02-24T09:42:03,Deposit,
265,379,6,2559.4,USD,2024-05-26T13:01:48,Interest credit,
266,78,6,4663.35,USD,2022-11-19T21:39:24,Interest credit,
267,99,5,-3746.25,USD,2024-08-22T07:01:28,Monthly fee,
268,300,1,751.42,USD,2025-05-10T15:46:45,Deposit,
269,138,6,1015.55,USD,2022-08-18T18:57:39,Interest credit,
270,438,5,-1979.36,USD,2024-02-03T04:06:30,Monthly fee,
271,300,5,-3263.72,USD,2023-10-06T17:37:58,Monthly fee,
272,549,5,-980.67,USD,2025-02-06T13:35:18,Monthly fee,
273,311,2,-3444.57,USD,2022-02-16T21:25:56,ATM withdrawal,
274,536,5,-536.22,USD,2023-09-14T11:29:57,Monthly fee,
275,363,5,-4736.85,USD,2024-07-19T06:35:55,Monthly fee,
276,68,5,-3168.13,USD,2024-07-14T18:38:30,Monthly fee,
277,135,1,1722.13,USD,2024-05-19T02:12:41,Deposit,
278,22,2,-4945.25,USD,2025-07-08T07:54:10,ATM withdrawal,
279,493,6,1081.99,USD,2022-07-04T12:45:40,Interest credit,
280,291,6,1034.68,USD,2025-03-29T14:25:33,Interest credit,
281,475,6,1835.56,USD,2024-04-16T09:54:31,Interest credit,
282,112,1,3372.84,USD,2024-09-14T11:14:17,Deposit,
283,40,6,543.05,USD,2025-07-21T18:57:40,Interest credit,
284,452,5,-571.77,USD,2024-09-21T10:26:13,Monthly fee,
285,290,5,-296.99,USD,2022-04-13T04:07:02,Monthly fee,
286,104,6,4068.13,USD,2023-01-09T13:39:26,Interest credit,
287,430,6,816.98,USD,2024-07-20T16:44:53,Interest credit,
288,245,2,-879.63,USD,2022-12-31T12:59:13,ATM withdrawal,
289,504,2,-330.33,USD,2024-04-25T16:11:19,ATM withdrawal,
290,199,6,2910.01,USD,2022-05-27T04:56:02,Interest credit,
291,46,6,2366.27,USD,2025-11-10T19:28:10,Interest credit,
292,433,6,607.37,USD,2024-01-29T13:37:05,Interest credit,
293,309,6,4029.79,USD,2022-01-31T02:10:39,Interest credit,
294,217,5,-3430.33,USD,2023-08-23T02:56:50,Monthly fee,
295,392,5,-1936.18,USD,2024-09-25T21:06:22,Monthly fee,
296,44,1,2160.47,USD,2025-11-24T21:25:22,Deposit,
297,170,5,-4523.84,USD,2022-04-13T01:16:20,Monthly fee,
298,384,6,3476.16,USD,2024-11-08T12:34:55,Interest credit,
299,344,2,-754.43,USD,2022-09-16T23:03:01,ATM withdrawal,
300,395,5,-3606.63,USD,2025-07-01T15:41:28,Monthly fee,
301,314,1,1488.03,USD,2022-10-05T20:03:05,Deposit,
302,520,1,1058.36,USD,2023-08-08T04:00:45,Deposit,
303,388,6,4240.65,USD,2022-12-21T02:59:31,Interest credit,
304,29,5,-4173.82,USD,2024-05-28T13:33:30,Monthly fee,
305,29,1,3998.12,USD,2025-06-04T12:09:07,Deposit,
306,83,6,2419.64,USD,2022-10-28T07:02:16,Interest credit,
307,399,5,-2539.68,USD,2024-03-24T11:38:38,Monthly fee,
308,3,1,2034.83,USD,2024-04-30T11:34:52,Deposit,
309,105,2,-2112.5,USD,2024-04-14T22:10:10,ATM withdrawal,
310,157,1,2718.15,USD,2022-05-09T21:01:08,Deposit,
311,103,2,-4289.63,USD,2025-12-23T22:23:01,ATM withdrawal,
312,391,2,-3013.39,USD,2023-06-17T15:35:12,ATM withdrawal,
313,302,1,3476.8,USD,2024-03-23T00:48:43,Deposit,
314,149,5,-3482.77,USD,2023-09-11T00:47:29,Monthly fee,
315,310,2,-1557.2,USD,2023-08-07T03:42:29,ATM withdrawal,
316,378,6,2149.07,USD,2024-02-29T02:53:38,Interest credit,
317,408,2,-442.35,USD,2022-12-15T07:37:59,ATM withdrawal,
318,185,5,-54.4,USD,2025-10-15T18:30:51,Monthly fee,
319,394,1,204.09,USD,2023-02-02T04:51:06,Deposit,
320,402,5,-4256.92,USD,2024-10-25T22:00:35,Monthly fee,
321,471,2,-1895.54,USD,2024-09-01T21:02:55,ATM withdrawal,
322,340,1,3648.35,USD,2025-06-23T07:54:33,Deposit,
323,549,2,-4650.05,USD,2022-05-07T19:01:17,ATM withdrawal,
324,350,1,1976.3,USD,2024-08-20T05:38:55,Deposit,
325,85,2,-54.01,USD,2022-09-22T01:05:35,ATM withdrawal,
326,375,1,3860.33,USD,2022-11-24T15:14:07,Deposit,
327,81,6,4386.91,USD,2023-12-21T13:31:59,Interest credit,
328,191,2,-1376.69,USD,2022-11-17T16:24:59,ATM withdrawal,
329,344,1,3498.86,USD,2024-11-23T09:07:03,Deposit,
330,99,5,-4026.37,USD,2025-04-04T19:40:45,Monthly fee,
331,192,2,-910.63,USD,2025-04-13T05:44:56,ATM withdrawal,
332,278,5,-3958.81,USD,2023-06-24T00:45:47,Monthly fee,
333,410,6,4632.04,USD,2022-06-25T11:36:40,Interest credit,
334,182,2,-675.71,USD,2025-04-25T15:52:24,ATM withdrawal,
335,285,6,334.0,USD,2023-01-21T23:35:10,Interest credit,
336,357,5,-3444.81,USD,2022-09-01T09:14:11,Monthly fee,
337,77,1,3543.22,USD,2022-12-16T08:22:24,Deposit,
338,63,5,-389.97,USD,2022-12-25T01:33:40,Monthly fee,
339,40,6,573.76,USD,2024-07-14T16:00:33,Interest credit,
340,507,1,1002.63,USD,2023-04-04T16:45:19,Deposit,
341,453,2,-752.03,USD,2023-06-28T04:57:03,ATM withdrawal,
342,367,6,300.6,USD,2023-04-03T13:23:36,Interest credit,
343,384,2,-1583.07,USD,2022-02-22T15:46:11,ATM withdrawal,
344,491,2,-3008.76,USD,2025-12-04T08:45:27,ATM withdrawal,
345,74,1,3643.85,USD,2022-10-21T02:41:14,Deposit,
346,492,1,909.45,USD,2024-06-01T23:04:24,Deposit,
347,501,1,1934.25,USD,2025-11-14T15:11:52,Deposit,
348,510,1,759.6,USD,2023-08-22T02:02:50,Deposit,
349,170,6,814.32,USD,2022-02-03T17:13:00,Interest credit,
350,212,2,-98.37,USD,2025-03-31T02:19:45,ATM withdrawal,
351,232,1,4186.97,USD,2023-05-02T17:51:53,Deposit,
352,262,1,3911.34,USD,2023-05-23T02:43:04,Deposit,
353,529,2,-1152.76,USD,2024-09-13T07:05:14,ATM withdrawal,
354,474,2,-2841.36,USD,2024-11-29T15:52:11,ATM withdrawal,
355,542,6,4649.35,USD,2022-05-30T06:58:47,Interest credit,
356,42,5,-707.82,USD,2023-04-21T16:30:42,Monthly fee,
357,409,1,3709.21,USD,2022-01-15T00:47:30,Deposit,
358,470,6,1412.2,USD,2024-08-01T14:47:02,Interest credit,
359,474,5,-750.15,USD,2023-05-19T18:39:04,Monthly fee,
360,193,5,-4258.58,USD,2022-05-20T07:07:55,Monthly fee,
361,472,5,-1255.08,USD,2025-10-09T20:21:51,Monthly fee,
362,125,5,-1267.49,USD,2022-12-16T21:14:13,Monthly fee,
363,267,5,-212.04,USD,2024-02-03T22:35:41,Monthly fee,
364,519,5,-3965.35,USD,2022-05-11T00:33:33,Monthly fee,
365,156,1,2221.41,USD,2022-01-03T16:42:28,Deposit,
366,281,5,-1220.75,USD,2023-11-27T19:53:40,Monthly fee,
367,444,5,-3372.74,USD,2024-03-23T22:00:35,Monthly fee,
368,460,2,-4122.84,USD,2023-11-25T08:31:55,ATM withdrawal,
369,508,6,1656.33,USD,2024-11-13T17:07:47,Interest credit,
370,461,6,2686.86,USD,2024-01-25T06:08:17,Interest credit,
371,483,1,4039.62,USD,2022-08-18T00:54:58,Deposit,
372,122,6,760.01,USD,2025-05-29T16:36:55,Interest credit,
373,492,5,-3905.72,USD,2023-08-07T13:37:49,Monthly fee,
374,207,1,2098.03,USD,2025-11-19T02:51:55,Deposit,
375,354,1,1944.7,USD,2025-06-15T03:45:39,Deposit,
376,20,6,240.56,USD,2023-07-09T08:21:07,Interest credit,
377,386,5,-4159.97,USD,2023-01-06T07:47:01,Monthly fee,
378,390,6,330.68,USD,2025-06-17T00:07:30,Interest credit,
379,279,5,-823.92,USD,2023-10-18T05:17:54,Monthly fee,
380,419,6,601.13,USD,2023-03-23T01:24:45,Interest credit,
381,304,6,4562.28,USD,2025-11-09T18:01:49,Interest credit,
382,542,6,1766.73,USD,2023-11-28T17:41:36,Interest credit,
383,209,2,-3630.75,USD,2023-03-03T10:42:38,ATM withdrawal,
384,370,1,1182.42,USD,2023-04-09T02:57:45,Deposit,
385,419,5,-4537.03,USD,2023-02-07T04:15:11,Monthly fee,
386,283,6,2836.96,USD,2023-12-20T11:07:26,Interest credit,
387,509,2,-3286.41,USD,2024-10-14T15:30:50,ATM withdrawal,
388,162,1,1543.55,USD,2025-02-26T15:54:07,Deposit,
389,515,5,-712.88,USD,2022-08-16T23:24:46,Monthly fee,
390,436,5,-2084.2,USD,2023-12-29T11:46:13,Monthly fee,
391,167,5,-97.38,USD,2023-02-21T08:31:27,Monthly fee,
392,412,5,-3707.18,USD,2025-11-21T08:59:53,Monthly fee,
393,314,1,2092.02,USD,2024-11-26T19:37:46,Deposit,
394,308,2,-1703.63,USD,2022-11-27T16:12:25,ATM withdrawal,
395,238,1,4342.4,USD,2025-02-07T00:04:06,Deposit,
396,502,2,-571.38,USD,2023-01-24T18:34:46,ATM withdrawal,
