card_id,account_id,customer_id,card_type,issued_date,expiry_date,status
67,384,393,credit,2024-06-23,2028-06-23,active
68,10,333,credit,2021-12-23,2025-12-23,active
69,436,295,debit,2024-01-12,2028-01-12,active
70,33,221,credit,2019-09-22,2023-09-22,expired
71,401,20,debit,2020-04-16,2024-04-16,expired
72,548,360,credit,2020-02-11,2024-02-11,expired
73,463,273,debit,2019-01-17,2023-01-17,expired
74,33,221,debit,2018-04-20,2022-04-20,expired
75,396,360,debit,2020-04-23,2024-04-23,expired
76,466,378,debit,2022-02-18,2026-02-18,active
77,335,116,debit,2022-05-21,2026-05-21,active
78,133,20,credit,2023-05-13,2027-05-13,active
79,212,149,credit,2020-04-22,2024-04-22,expired
80,163,106,credit,2024-08-03,2028-08-03,active
81,283,178,credit,2018-01-31,2022-01-28,expired
82,66,85,credit,2024-10-13,2028-10-13,active
83,503,347,debit,2023-03-11,2027-03-11,active
84,295,223,credit,2021-11-21,2025-11-21,active
85,401,20,credit,2022-08-28,2026-08-28,active
86,469,395,debit,2020-01-22,2024-01-22,expired
87,403,380,debit,2020-09-08,2024-09-08,expired
88,281,183,debit,2018-10-01,2022-10-01,expired
89,506,183,credit,2024-03-14,2028-03-14,active
90,79,296,credit,2023-08-29,2027-08-28,active
91,420,39,debit,2019-11-07,2023-11-07,expired
92,474,246,credit,2018-10-27,2022-10-27,expired
93,391,158,credit,2022-06-24,2026-06-24,active
94,39,220,debit,2020-10-23,2024-10-23,expired
95,335,116,debit,2023-06-09,2027-06-09,active
96,249,206,credit,2019-07-29,2023-07-28,expired
97,166,281,debit,2018-03-15,2022-03-15,expired
98,302,376,debit,2023-12-30,2027-12-28,active
99,80,294,debit,2018-02-15,2022-02-15,expired
100,452,297,debit,2019-12-30,2023-12-28,expired
101,546,168,debit,2022-12-16,2026-12-16,active
102,400,4,debit,2022-12-24,2026-12-24,active
103,50,179,credit,2020-04-06,2024-04-06,expired
104,245,193,debit,2019-01-10,2023-01-10,blocked
105,15,200,debit,2020-02-27,2024-02-27,expired
106,226,47,debit,2019-11-19,2023-11-19,expired
107,426,353,debit,2021-09-01,2025-09-01,active
108,213,339,debit,2022-10-19,2026-10-19,active
109,109,203,credit,2021-08-17,2025-08-17,active
110,324,398,debit,2022-05-14,2026-05-14,active
111,68,331,debit,2024-12-30,2028-12-28,active
112,224,298,credit,2021-05-20,2025-05-20,expired
113,105,358,credit,2020-10-28,2024-10-28,expired
114,398,9,credit,2021-09-22,2025-09-22,active
115,494,22,credit,2021-10-04,2025-10-04,blocked
116,392,32,debit,2023-08-25,2027-08-25,active
117,239,194,debit,2024-11-29,2028-11-28,active
118,317,89,debit,2022-10-22,2026-10-22,active
119,62,27,debit,2022-03-15,2026-03-15,active
120,156,207,debit,2020-04-17,2024-04-17,expired
121,455,47,debit,2019-07-04,2023-07-04,expired
122,534,55,debit,2021-03-27,2025-03-27,expired
123,340,327,debit,2020-09-19,2024-09-19,expired
124,255,282,credit,2024-10-26,2028-10-26,active
125,188,215,credit,2018-01-25,2022-01-25,expired
126,72,395,debit,2018-08-02,2022-08-02,expired
127,210,133,debit,2019-01-11,2023-01-11,expired
128,242,118,credit,2022-10-12,2026-10-12,active
129,169,49,debit,2020-09-30,2024-09-28,expired
130,311,227,debit,2024-06-19,2028-06-19,active
131,279,28,credit,2018-11-24,2022-11-24,expired
132,408,338,credit,2019-11-19,2023-11-19,expired
133,518,255,credit,2019-10-01,2023-10-01,expired
134,21,284,credit,2022-10-17,2026-10-17,active
135,157,388,credit,2020-11-19,2024-11-19,expired
136,465,105,credit,2022-03-17,2026-03-17,active
137,74,143,debit,2019-07-14,2023-07-14,expired
138,159,234,credit,2018-01-18,2022-01-18,blocked
139,504,34,credit,2022-08-31,2026-08-28,active
140,394,156,debit,2021-06-14,2025-06-14,active
141,419,193,debit,2019-05-25,2023-05-25,expired
142,199,377,credit,2020-11-11,2024-11-11,expired
143,522,103,credit,2022-02-17,2026-02-17,active
144,435,113,credit,2020-09-19,2024-09-19,expired
145,29,36,debit,2020-12-06,2024-12-06,expired
146,261,294,debit,2024-10-02,2028-10-02,active
147,13,279,credit,2019-01-14,2023-01-14,expired
148,408,338,credit,2023-10-25,2027-10-25,active
149,170,319,credit,2020-11-01,2024-11-01,expired
150,316,120,credit,2018-12-31,2022-12-28,expired
151,147,308,credit,2020-05-08,2024-05-08,expired
152,316,120,debit,2019-11-21,2023-11-21,expired
153,100,330,credit,2022-09-08,2026-09-08,active
154,442,390,debit,2019-12-24,2023-12-24,expired
155,203,170,debit,2020-01-16,2024-01-16,expired
156,462,28,debit,2020-01-31,2024-01-28,expired
157,197,400,debit,2022-08-02,2026-08-02,active
158,171,198,debit,2021-04-15,2025-04-15,expired
159,284,268,debit,2021-11-02,2025-11-02,blocked
160,490,399,credit,2019-02-17,2023-02-17,blocked
161,8,269,debit,2019-02-01,2023-02-01,expired
162,385,359,credit,2023-06-14,2027-06-14,active
163,440,211,credit,2022-02-27,2026-02-27,active
164,323,102,credit,2022-01-19,2026-01-19,active
165,59,350,debit,2021-09-14,2025-09-14,active
166,468,235,debit,2019-07-23,2023-07-23,blocked
167,544,161,credit,2020-10-15,2024-10-15,expired
168,528,217,credit,2020-02-09,2024-02-09,blocked
169,18,349,credit,2018-07-07,2022-07-07,expired
170,455,47,debit,2024-10-21,2028-10-21,active
171,357,126,debit,2023-05-05,2027-05-05,active
172,395,32,debit,2024-10-22,2028-10-22,active
173,533,169,debit,2019-06-08,2023-06-08,expired
174,309,321,debit,2019-11-20,2023-11-20,expired
175,494,22,debit,2020-09-23,2024-09-23,expired
176,109,203,credit,2018-04-30,2022-04-28,expired
177,393,232,credit,2020-06-21,2024-06-21,expired
178,127,18,credit,2023-12-30,2027-12-28,active
179,93,183,debit,2020-07-05,2024-07-05,expired
180,352,355,credit,2022-04-13,2026-04-13,active
181,239,194,debit,2020-11-27,2024-11-27,expired
182,115,355,debit,2021-10-25,2025-10-25,active
183,119,16,credit,2019-06-06,2023-06-06,expired
184,2,300,debit,2018-09-11,2022-09-11,expired
185,398,74,debit,2021-08-02,2025-08-02,active
186,533,169,credit,2019-03-13,2023-03-13,expired
187,324,398,credit,2021-04-30,2025-04-28,expired
188,467,211,debit,2024-09-29,2028-09-28,active
189,328,105,debit,2023-08-20,2027-08-20,active
190,281,183,credit,2020-06-02,2024-06-02,expired
191,61,82,debit,2019-09-18,2023-09-18,expired
192,231,335,credit,2020-01-04,2024-01-04,expired
193,307,381,credit,2018-03-30,2022-03-28,expired
194,433,242,credit,2021-11-27,2025-11-27,active
195,74,143,debit,2021-03-02,2025-03-02,expired
196,404,399,debit,2019-06-21,2023-06-21,expired
197,312,166,credit,2019-11-02,2023-11-02,expired
198,495,342,debit,2019-08-17,2023-08-17,expired
199,10,333,debit,2024-06-15,2028-06-15,active
200,386,237,debit,2019-11-21,2023-11-21,expired
201,365,61,debit,2020-01-06,2024-01-06,expired
202,528,217,debit,2024-08-27,2028-08-27,active
203,414,334,credit,2018-05-20,2022-05-20,expired
204,501,160,credit,2024-09-07,2028-09-07,active
205,92,352,credit,2022-04-15,2026-04-15,active
206,377,45,debit,2019-05-07,2023-05-07,expired
207,501,160,credit,2018-04-05,2022-04-05,expired
208,281,340,credit,2024-08-25,2028-08-25,active
209,445,91,credit,2024-05-29,2028-05-28,active
210,66,85,debit,2022-07-19,2026-07-19,active
211,404,399,debit,2018-09-19,2022-09-19,expired
212,213,339,debit,2020-01-11,2024-01-11,expired
213,6,342,debit,2021-07-11,2025-07-11,active
214,212,149,debit,2018-12-26,2022-12-26,expired
215,87,215,debit,2023-09-05,2027-09-05,active
216,434,50,credit,2020-10-14,2024-10-14,expired
217,547,293,credit,2019-07-27,2023-07-27,expired
218,536,367,debit,2024-10-18,2028-10-18,active
219,102,306,debit,2020-08-29,2024-08-28,blocked
220,307,381,debit,2019-07-04,2023-07-04,expired
221,368,174,credit,2019-06-11,2023-06-11,expired
222,77,71,debit,2020-11-10,2024-11-10,expired
223,410,339,credit,2018-12-08,2022-12-08,expired
224,147,308,credit,2018-10-17,2022-10-17,expired
225,198,280,debit,2024-04-27,2028-04-27,active
226,430,304,credit,2021-07-19,2025-07-19,active
227,389,221,credit,2024-10-08,2028-10-08,active
228,128,86,credit,2024-02-25,2028-02-25,active
229,92,352,debit,2021-09-28,2025-09-28,active
230,232,177,debit,2018-02-10,2022-02-10,expired
231,388,212,credit,2019-05-21,2023-05-21,expired
232,502,244,credit,2023-12-07,2027-12-07,active
233,278,129,credit,2018-07-16,2022-07-16,expired
234,186,222,credit,2023-12-18,2027-12-18,active
235,489,351,debit,2020-11-27,2024-11-27,blocked
236,130,267,credit,2022-04-01,2026-04-01,active
237,55,251,credit,2020-10-17,2024-10-17,expired
238,469,395,credit,2022-12-03,2026-12-03,active
239,515,339,debit,2021-02-03,2025-02-03,expired
240,313,230,credit,2021-06-05,2025-06-05,active
241,93,128,debit,2018-11-11,2022-11-11,expired
242,170,319,credit,2018-12-13,2022-12-13,expired
243,11,43,debit,2023-09-15,2027-09-15,active
244,492,306,debit,2023-10-11,2027-10-11,active
245,416,161,debit,2024-11-29,2028-11-28,active
246,436,295,debit,2020-09-27,2024-09-27,expired
247,460,364,debit,2023-11-15,2027-11-15,active
248,77,363,debit,2019-07-01,2023-07-01,expired
249,433,242,debit,2022-04-02,2026-04-02,active
250,347,267,debit,2024-01-18,2028-01-18,active
251,298,286,debit,2023-06-02,2027-06-02,active
252,3,336,debit,2020-06-09,2024-06-09,expired
253,475,312,credit,2018-08-24,2022-08-24,expired
254,337,106,credit,2021-12-20,2025-12-20,active
255,191,356,credit,2021-12-23,2025-12-23,blocked
256,504,34,debit,2018-12-14,2022-12-14,expired
257,421,38,credit,2023-06-20,2027-06-20,blocked
258,232,177,credit,2022-06-08,2026-06-08,active
259,439,334,debit,2024-01-07,2028-01-07,active
260,450,327,credit,2019-10-25,2023-10-25,expired
261,6,342,credit,2020-03-23,2024-03-23,expired
262,42,315,credit,2022-06-05,2026-06-05,active
263,33,221,credit,2020-03-26,2024-03-26,expired
264,122,50,debit,2023-06-27,2027-06-27,active
265,333,272,credit,2023-08-18,2027-08-18,active
266,135,381,debit,2019-03-18,2023-03-18,expired
267,160,385,debit,2023-08-11,2027-08-11,blocked
268,54,360,debit,2022-10-26,2026-10-26,active
269,445,91,debit,2021-03-31,2025-03-28,expired
270,440,211,debit,2024-12-04,2028-12-04,active
271,256,100,debit,2019-04-17,2023-04-17,expired
272,440,211,debit,2023-04-26,2027-04-26,active
273,515,339,debit,2020-02-12,2024-02-12,expired
274,235,66,credit,2019-06-26,2023-06-26,expired
275,197,400,debit,2022-10-13,2026-10-13,blocked
276,94,384,credit,2022-04-07,2026-04-07,active
277,237,44,debit,2021-10-08,2025-10-08,active
278,523,265,credit,2018-07-31,2022-07-28,expired
279,373,155,debit,2021-12-08,2025-12-08,active
280,328,105,debit,2020-01-15,2024-01-15,blocked
281,330,28,debit,2021-03-14,2025-03-14,expired
282,442,390,credit,2020-10-30,2024-10-28,expired
283,343,84,debit,2019-04-02,2023-04-02,expired
284,134,156,credit,2022-01-16,2026-01-16,active
285,542,260,debit,2020-09-02,2024-09-02,expired
286,394,156,debit,2019-03-12,2023-03-12,expired
287,43,199,debit,2020-03-01,2024-03-01,expired
288,77,71,credit,2024-12-10,2028-12-10,active
289,207,274,debit,2019-09-22,2023-09-22,blocked
290,429,323,credit,2024-04-14,2028-04-14,active
291,460,364,credit,2022-11-22,2026-11-22,active
292,537,354,debit,2019-11-15,2023-11-15,expired
293,297,389,debit,2024-05-08,2028-05-08,active
294,408,338,debit,2023-12-21,2027-12-21,active
295,170,319,credit,2023-09-18,2027-09-18,active
296,411,60,debit,2020-04-27,2024-04-27,expired
297,224,298,credit,2023-10-02,2027-10-02,active
298,311,227,debit,2021-04-28,2025-04-28,expired
299,176,286,credit,2018-07-06,2022-07-06,expired
300,41,313,credit,2021-02-11,2025-02-11,expired
301,53,264,debit,2020-05-10,2024-05-10,expired
302,356,3,credit,2021-08-22,2025-08-22,active
303,137,70,debit,2024-11-09,2028-11-09,active
304,11,43,credit,2020-06-17,2024-06-17,expired
305,181,308,debit,2018-03-06,2022-03-06,expired
306,392,32,credit,2024-10-11,2028-10-11,active
307,226,47,credit,2021-01-05,2025-01-05,expired
308,160,385,credit,2020-08-07,2024-08-07,expired
309,378,160,debit,2023-05-17,2027-05-17,active
310,471,288,credit,2019-12-23,2023-12-23,expired
311,185,231,debit,2018-03-28,2022-03-28,expired
312,404,399,credit,2018-10-12,2022-10-12,expired
313,252,225,debit,2022-07-07,2026-07-07,active
314,13,279,debit,2022-03-28,2026-03-28,active
315,14,386,debit,2019-06-26,2023-06-26,expired
316,275,86,debit,2024-09-22,2028-09-22,blocked
317,109,203,credit,2018-12-15,2022-12-15,expired
318,455,47,debit,2021-06-13,2025-06-13,active
319,250,47,debit,2024-02-05,2028-02-05,active
320,22,287,debit,2019-02-26,2023-02-26,expired
321,524,327,debit,2019-08-04,2023-08-04,blocked
322,25,226,credit,2022-10-16,2026-10-16,active
323,294,373,debit,2022-04-25,2026-04-25,active
324,504,34,credit,2019-03-28,2023-03-28,expired
325,366,6,credit,2024-11-26,2028-11-26,active
326,87,215,credit,2024-10-12,2028-10-12,active
327,544,161,credit,2024-09-22,2028-09-22,active
328,154,399,debit,2021-03-21,2025-03-21,expired
329,278,129,debit,2022-02-20,2026-02-20,active
330,3,336,credit,2019-08-24,2023-08-24,expired
331,458,314,credit,2018-10-03,2022-10-03,expired
332,286,367,debit,2019-01-06,2023-01-06,expired
333,187,375,credit,2021-12-15,2025-12-15,active
334,493,158,credit,2024-09-30,2028-09-28,active
335,142,400,credit,2022-04-19,2026-04-19,active
336,547,293,debit,2023-12-22,2027-12-22,active
337,394,156,debit,2024-07-07,2028-07-07,active
338,90,163,debit,2022-01-21,2026-01-21,blocked
339,372,385,debit,2019-07-02,2023-07-02,expired
340,358,19,debit,2019-07-25,2023-07-25,expired
341,432,235,debit,2020-05-13,2024-05-13,expired
342,142,400,debit,2019-08-10,2023-08-10,expired
343,435,113,debit,2018-08-10,2022-08-10,expired
344,489,351,debit,2018-05-04,2022-05-04,expired
345,81,197,credit,2018-11-12,2022-11-12,blocked
346,154,399,credit,2023-04-09,2027-04-09,active
347,482,252,debit,2021-10-13,2025-10-13,active
348,294,373,debit,2019-10-01,2023-10-01,expired
349,178,294,credit,2018-02-14,2022-02-14,expired
350,466,378,debit,2024-06-01,2028-06-01,active
351,434,50,credit,2021-01-18,2025-01-18,expired
352,129,305,debit,2022-06-29,2026-06-28,active
353,402,385,debit,2024-04-09,2028-04-09,active
354,480,244,credit,2021-07-06,2025-07-06,active
355,390,379,credit,2018-08-12,2022-08-12,expired
356,200,364,credit,2019-03-21,2023-03-21,expired
357,344,104,debit,2020-09-08,2024-09-08,expired
358,67,45,credit,2024-09-11,2028-09-11,blocked
359,193,75,debit,2018-05-13,2022-05-13,expired
360,46,228,debit,2018-07-07,2022-07-07,blocked
361,317,89,credit,2021-12-31,2025-12-28,active
362,513,254,credit,2021-07-12,2025-07-12,active
363,133,20,debit,2021-09-19,2025-09-19,active
364,515,339,credit,2018-04-08,2022-04-08,expired
365,489,351,credit,2021-04-03,2025-04-03,expired
366,81,197,debit,2020-08-06,2024-08-06,expired
367,165,312,credit,2023-01-07,2027-01-07,active
368,298,286,credit,2024-12-28,2028-12-28,active
369,41,313,debit,2020-09-06,2024-09-06,expired
370,157,388,debit,2019-02-03,2023-02-03,expired
371,317,89,credit,2023-08-06,2027-08-06,active
372,174,348,credit,2019-10-24,2023-10-24,expired
373,362,108,credit,2018-10-19,2022-10-19,expired
374,265,296,credit,2020-11-14,2024-11-14,expired
375,144,320,credit,2024-05-18,2028-05-18,active
376,294,22,debit,2022-08-03,2026-08-03,active
377,452,297,credit,2023-10-01,2027-10-01,active
378,383,387,credit,2022-08-20,2026-08-20,active
379,44,251,debit,2020-09-29,2024-09-28,expired
380,159,234,credit,2021-04-05,2025-04-05,expired
381,75,391,debit,2022-05-10,2026-05-10,active
382,358,19,credit,2023-04-03,2027-04-03,active
383,112,360,credit,2020-01-09,2024-01-09,expired
384,444,108,credit,2022-07-03,2026-07-03,active
385,351,166,credit,2020-05-20,2024-05-20,expired
386,118,193,debit,2023-02-05,2027-02-05,blocked
387,482,252,debit,2020-05-24,2024-05-24,expired
388,390,379,credit,2022-01-20,2026-01-20,active
389,219,344,credit,2020-05-16,2024-05-16,expired
390,277,186,debit,2019-12-23,2023-12-23,expired
391,281,183,credit,2018-12-01,2022-12-01,expired
392,430,304,debit,2020-11-28,2024-11-28,expired
393,95,114,credit,2021-11-01,2025-11-01,active
394,169,49,credit,2021-12-01,2025-12-01,active
395,487,183,credit,2022-11-25,2026-11-25,active
396,11,88,debit,2018-11-15,2022-11-15,expired
397,332,306,credit,2018-02-28,2022-02-28,expired
398,152,37,credit,2021-07-20,2025-07-20,active
399,270,5,debit,2023-01-20,2027-01-20,active
400,461,108,debit,2018-05-30,2022-05-28,expired
401,431,9,credit,2024-09-27,2028-09-27,active
402,215,285,credit,2024-06-20,2028-06-20,active
403,373,155,debit,2021-05-21,2025-05-21,expired
404,512,252,credit,2022-08-23,2026-08-23,active
405,437,73,credit,2019-04-10,2023-04-10,expired
406,439,304,debit,2019-12-26,2023-12-26,expired
407,447,193,credit,2021-03-13,2025-03-13,expired
408,291,75,debit,2018-12-25,2022-12-25,expired
409,92,81,debit,2024-11-29,2028-11-28,active
410,509,104,debit,2022-12-25,2026-12-25,active
411,297,389,credit,2020-05-17,2024-05-17,expired
412,391,158,debit,2020-03-12,2024-03-12,expired
413,360,384,credit,2022-08-19,2026-08-19,active
414,8,269,credit,2020-07-06,2024-07-06,expired
415,271,291,debit,2022-08-26,2026-08-26,active
416,425,363,credit,2018-03-05,2022-03-05,blocked
417,532,298,credit,2021-10-04,2025-10-04,active
418,248,71,credit,2020-02-29,2024-02-28,expired
419,53,264,credit,2019-06-12,2023-06-12,expired
420,178,294,credit,2021-07-27,2025-07-27,active
421,237,44,credit,2019-06-02,2023-06-02,expired
422,267,52,debit,2021-08-13,2025-08-13,active
423,27,125,debit,2018-02-17,2022-02-17,expired
424,29,36,debit,2024-05-31,2028-05-28,active
425,465,105,debit,2020-02-04,2024-02-04,expired
426,305,51,credit,2024-01-03,2028-01-03,active
427,267,52,debit,2021-01-31,2025-01-28,expired
428,24,101,debit,2019-03-31,2023-03-28,expired
429,110,250,debit,2021-03-02,2025-03-02,expired
430,96,39,debit,2023-07-18,2027-07-18,active
431,401,20,credit,2023-07-05,2027-07-05,active
432,76,126,credit,2018-11-09,2022-11-09,expired
433,385,359,debit,2023-01-21,2027-01-21,active
434,306,114,debit,2020-01-02,2024-01-02,expired
435,121,252,debit,2021-11-21,2025-11-21,active
436,163,106,debit,2019-05-14,2023-05-14,expired
437,549,88,debit,2023-10-23,2027-10-23,active
438,222,229,debit,2019-04-16,2023-04-16,expired
439,336,352,debit,2020-06-19,2024-06-19,expired
440,275,86,debit,2023-05-27,2027-05-27,active
441,357,126,credit,2023-03-29,2027-03-28,active
442,447,193,debit,2020-03-01,2024-03-01,expired
443,288,36,credit,2019-02-26,2023-02-26,expired
444,170,319,credit,2023-06-22,2027-06-22,active
445,434,50,credit,2021-07-29,2025-07-28,active
446,440,211,debit,2024-05-12,2028-05-12,active
447,461,108,credit,2018-05-19,2022-05-19,expired
448,420,39,credit,2024-10-09,2028-10-09,active
449,408,338,credit,2019-04-15,2023-04-15,expired
450,440,211,debit,2022-01-05,2026-01-05,active
451,381,26,debit,2019-08-18,2023-08-18,expired
452,10,333,debit,2018-02-14,2022-02-14,expired
453,477,342,credit,2020-08-10,2024-08-10,expired
454,291,75,credit,2023-11-30,2027-11-28,active
455,77,71,credit,2022-09-24,2026-09-24,active
456,326,226,credit,2020-03-22,2024-03-22,expired
457,511,400,debit,2021-01-29,2025-01-28,expired
458,464,235,credit,2024-09-29,2028-09-28,active
459,243,357,debit,2021-03-13,2025-03-13,blocked
460,473,243,credit,2019-06-21,2023-06-21,expired
461,38,208,debit,2021-10-13,2025-10-13,active
462,482,252,credit,2022-08-28,2026-08-28,active
463,325,13,credit,2022-06-28,2026-06-28,active
464,506,183,credit,2022-05-31,2026-05-28,active
465,506,183,debit,2022-03-12,2026-03-12,active
466,30,217,debit,2018-07-15,2022-07-15,expired
467,108,301,debit,2022-11-20,2026-11-20,active
468,196,199,debit,2024-01-11,2028-01-11,active
469,266,398,credit,2019-03-30,2023-03-28,blocked
470,77,363,credit,2021-09-10,2025-09-10,active
471,277,186,debit,2019-07-19,2023-07-19,expired
472,130,267,credit,2019-08-30,2023-08-28,expired
473,458,314,credit,2023-11-08,2027-11-08,active
474,502,244,credit,2021-08-11,2025-08-11,active
475,232,177,debit,2020-12-16,2024-12-16,expired
476,362,108,debit,2020-04-23,2024-04-23,expired
477,507,129,debit,2020-05-20,2024-05-20,blocked
478,480,244,credit,2020-02-09,2024-02-09,expired
479,214,325,debit,2021-07-01,2025-07-01,active
480,517,12,credit,2019-06-17,2023-06-17,expired
481,395,32,credit,2024-12-16,2028-12-16,active
482,193,75,credit,2021-02-12,2025-02-12,expired
483,105,358,debit,2023-03-04,2027-03-04,active
484,247,248,debit,2023-03-03,2027-03-03,active
485,488,307,debit,2021-12-12,2025-12-12,active
486,363,362,credit,2020-05-18,2024-05-18,expired
487,521,219,credit,2018-08-06,2022-08-06,expired
488,101,184,credit,2022-04-16,2026-04-16,active
489,199,377,credit,2020-02-15,2024-02-15,expired
490,543,329,debit,2023-10-26,2027-10-26,active
491,255,282,debit,2020-06-18,2024-06-18,expired
492,273,311,credit,2018-09-27,2022-09-27,expired
493,232,177,debit,2022-05-25,2026-05-25,active
494,275,86,debit,2020-04-22,2024-04-22,expired
495,356,3,debit,2024-09-08,2028-09-08,active
496,97,63,credit,2023-08-24,2027-08-24,active
497,313,230,debit,2019-11-29,2023-11-28,expired
498,171,198,debit,2021-09-22,2025-09-22,active
499,14,386,debit,2022-10-19,2026-10-19,active
500,271,291,debit,2019-12-01,2023-12-01,expired
