account_id,customer_id,holder_role,added_date
254,400,primary,2016-11-25
255,282,primary,2022-07-05
256,100,primary,2024-04-21
257,175,primary,2021-06-12
258,395,primary,2017-11-21
259,196,primary,2023-09-12
260,135,primary,2022-08-04
260,128,authorized_signer,2022-08-04
261,294,primary,2022-07-22
262,136,primary,2023-05-15
263,347,primary,2017-04-10
264,162,primary,2021-11-19
265,296,primary,2024-09-28
266,398,primary,2020-11-23
267,52,primary,2016-05-08
268,95,primary,2021-11-14
269,68,primary,2017-05-12
269,295,joint,2017-05-12
269,352,joint,2017-05-12
270,5,primary,2024-01-07
270,91,authorized_signer,2024-01-07
271,291,primary,2024-07-11
272,382,primary,2016-02-10
272,172,authorized_signer,2016-02-10
273,311,primary,2021-04-14
274,250,primary,2021-06-16
275,86,primary,2020-01-05
276,161,primary,2019-09-24
277,186,primary,2018-04-08
278,129,primary,2020-11-03
279,28,primary,2023-05-29
280,200,primary,2020-11-16
281,340,primary,2017-10-10
281,183,authorized_signer,2017-10-10
282,358,primary,2020-03-28
282,277,joint,2020-03-28
283,178,primary,2020-02-14
284,268,primary,2017-07-19
284,389,joint,2017-07-19
285,221,primary,2020-04-05
285,150,joint,2020-04-05
286,367,primary,2021-02-23
287,314,primary,2019-05-16
288,36,primary,2022-09-05
289,10,primary,2018-04-01
289,78,joint,2018-04-01
289,26,joint,2018-04-01
290,253,primary,2018-01-07
290,112,authorized_signer,2018-01-07
290,176,authorized_signer,2018-01-07
291,75,primary,2019-03-02
292,7,primary,2023-09-13
293,395,primary,2017-10-16
294,373,primary,2022-06-20
294,22,joint,2022-06-20
294,382,authorized_signer,2022-06-20
295,223,primary,2018-05-08
296,354,primary,2016-11-16
297,389,primary,2021-09-08
298,286,primary,2015-09-02
299,184,primary,2023-06-27
300,291,primary,2017-10-23
301,36,primary,2018-11-25
302,376,primary,2020-01-15
303,199,primary,2021-12-13
304,50,primary,2022-08-30
305,51,primary,2015-10-01
306,114,primary,2022-03-13
306,311,joint,2022-03-13
307,381,primary,2022-05-09
308,40,primary,2023-11-28
309,321,primary,2016-02-02
310,341,primary,2023-05-27
311,227,primary,2016-11-14
312,166,primary,2021-03-03
313,230,primary,2021-04-25
314,154,primary,2023-02-22
315,285,primary,2024-08-06
316,120,primary,2016-09-25
317,89,primary,2016-01-12
318,196,primary,2022-11-18
319,117,primary,2023-08-24
320,164,primary,2024-07-11
321,386,primary,2016-09-04
322,293,primary,2020-08-29
322,382,joint,2020-08-29
323,102,primary,2017-12-11
324,398,primary,2022-04-25
324,221,authorized_signer,2022-04-25
325,13,primary,2016-01-02
326,226,primary,2016-11-24
327,318,primary,2017-03-28
327,76,authorized_signer,2017-03-28
328,105,primary,2022-10-12
329,193,primary,2023-06-01
330,28,primary,2020-11-27
331,10,primary,2015-02-04
332,306,primary,2019-05-03
333,272,primary,2017-02-02
334,257,primary,2020-06-29
335,116,primary,2022-01-07
336,352,primary,2019-05-29
337,106,primary,2017-09-11
338,70,primary,2021-07-07
339,163,primary,2022-05-11
339,75,joint,2022-05-11
340,327,primary,2024-11-14
341,311,primary,2016-09-14
342,258,primary,2017-08-03
343,84,primary,2020-04-04
344,104,primary,2015-05-13
345,167,primary,2015-09-28
346,369,primary,2024-12-14
347,267,primary,2021-11-09
348,21,primary,2020-02-15
349,147,primary,2020-10-15
350,232,primary,2019-09-27
351,166,primary,2020-08-12
352,355,primary,2017-01-02
353,269,primary,2023-12-07
354,88,primary,2023-02-25
354,172,joint,2023-02-25
355,93,primary,2017-01-02
356,3,primary,2017-04-10
357,126,primary,2017-09-01
358,19,primary,2021-12-13
359,92,primary,2022-06-25
360,384,primary,2018-03-10
361,282,primary,2015-05-27
362,108,primary,2020-04-12
363,362,primary,2016-03-23
364,289,primary,2021-10-29
364,255,authorized_signer,2021-10-29
365,61,primary,2024-11-28
366,6,primary,2023-12-20
367,59,primary,2022-09-27
368,174,primary,2018-10-30
369,172,primary,2020-04-27
370,10,primary,2023-04-30
371,16,primary,2022-09-08
372,385,primary,2022-01-10
373,155,primary,2024-08-14
374,13,primary,2018-05-23
375,398,primary,2020-08-10
376,19,primary,2023-08-18
377,45,primary,2023-01-02
378,160,primary,2024-12-21
379,77,primary,2018-08-07
379,81,authorized_signer,2018-08-07
380,361,primary,2021-12-26
380,146,joint,2021-12-26
381,26,primary,2018-06-29
382,359,primary,2015-08-09
383,387,primary,2018-12-27
383,392,authorized_signer,2018-12-27
384,393,primary,2016-01-16
385,359,primary,2017-08-07
386,237,primary,2023-11-05
387,366,primary,2018-03-02
388,212,primary,2018-08-27
389,221,primary,2017-09-25
390,379,primary,2021-05-12
391,158,primary,2024-05-20
392,32,primary,2021-09-16
393,77,primary,2024-02-29
393,232,authorized_signer,2024-02-29
394,156,primary,2021-06-25
395,151,primary,2018-11-11
395,32,authorized_signer,2018-11-11
396,222,primary,2015-01-04
396,360,authorized_signer,2015-01-04
397,285,primary,2022-12-25
397,197,authorized_signer,2022-12-25
398,9,primary,2016-09-23
398,74,authorized_signer,2016-09-23
399,218,primary,2016-07-10
400,4,primary,2020-02-05
401,20,primary,2024-06-30
402,385,primary,2022-11-27
403,380,primary,2020-03-19
404,399,primary,2015-11-16
405,86,primary,2020-02-03
406,294,primary,2021-09-13
407,143,primary,2018-04-10
407,130,joint,2018-04-10
408,338,primary,2018-02-01
409,176,primary,2024-01-22
410,339,primary,2021-09-05
411,60,primary,2022-02-24
412,350,primary,2020-03-15
413,348,primary,2020-04-27
414,334,primary,2022-08-29
415,396,primary,2018-10-04
416,161,primary,2017-09-17
417,351,primary,2022-07-18
418,337,primary,2017-06-17
419,193,primary,2021-09-21
420,39,primary,2021-05-07
421,38,primary,2018-02-06
421,142,joint,2018-02-06
421,398,authorized_signer,2018-02-06
422,202,primary,2015-09-04
423,367,primary,2020-07-08
424,335,primary,2015-05-23
425,363,primary,2015-06-04
425,395,authorized_signer,2015-06-04
426,353,primary,2019-07-13
427,29,primary,2016-05-11
428,332,primary,2016-01-07
429,323,primary,2021-03-21
430,304,primary,2020-06-15
430,123,authorized_signer,2020-06-15
431,9,primary,2023-11-22
432,235,primary,2015-08-18
433,242,primary,2016-09-02
434,50,primary,2017-09-21
435,113,primary,2016-11-30
436,295,primary,2019-10-12
437,141,primary,2018-08-10
437,73,authorized_signer,2018-08-10
438,324,primary,2019-02-24
439,334,primary,2023-09-21
439,304,authorized_signer,2023-09-21
440,211,primary,2024-01-21
441,155,primary,2021-11-05
442,390,primary,2015-01-19
443,351,primary,2017-06-17
444,108,primary,2020-07-30
445,91,primary,2018-10-01
446,102,primary,2020-06-09
447,193,primary,2018-08-27
448,199,primary,2020-04-13
449,292,primary,2020-02-18
449,31,authorized_signer,2020-02-18
450,327,primary,2024-07-20
451,111,primary,2021-06-25
452,297,primary,2024-05-21
453,259,primary,2016-09-02
454,286,primary,2020-12-15
455,47,primary,2022-10-10
456,238,primary,2022-07-03
457,325,primary,2024-10-20
458,314,primary,2015-10-17
459,346,primary,2023-11-29
459,187,joint,2023-11-29
460,364,primary,2019-02-06
460,397,joint,2019-02-06
461,108,primary,2017-09-04
462,28,primary,2023-07-14
463,273,primary,2018-11-15
464,235,primary,2021-12-18
464,45,joint,2021-12-18
465,105,primary,2018-03-27
466,378,primary,2015-04-03
467,211,primary,2018-04-09
468,235,primary,2022-05-09
469,395,primary,2016-06-24
470,275,primary,2016-08-30
470,147,joint,2016-08-30
470,94,joint,2016-08-30
471,288,primary,2016-04-23
471,363,authorized_signer,2016-04-23
471,18,authorized_signer,2016-04-23
472,394,primary,2020-01-11
473,243,primary,2018-08-04
474,246,primary,2022-06-24
474,21,joint,2022-06-24
475,312,primary,2016-04-23
476,229,primary,2021-07-17
477,342,primary,2015-12-24
478,229,primary,2016-08-28
479,148,primary,2015-12-25
480,244,primary,2019-10-03
481,328,primary,2018-10-05
481,140,authorized_signer,2018-10-05
482,252,primary,2020-03-07
483,135,primary,2024-05-11
483,154,authorized_signer,2024-05-11
484,392,primary,2022-06-20
484,142,authorized_signer,2022-06-20
485,356,primary,2023-05-12
486,75,primary,2019-03-09
487,183,primary,2024-11-06
488,307,primary,2018-04-09
489,351,primary,2021-02-05
490,399,primary,2019-01-24
491,287,primary,2018-10-25
491,315,joint,2018-10-25
491,354,authorized_signer,2018-10-25
492,227,primary,2016-04-22
492,306,authorized_signer,2016-04-22
493,117,primary,2018-06-01
493,158,joint,2018-06-01
494,22,primary,2015-11-18
495,155,primary,2015-05-15
495,342,joint,2015-05-15
496,180,primary,2023-10-10
496,15,joint,2023-10-10
496,47,authorized_signer,2023-10-10
497,297,primary,2018-12-13
497,391,joint,2018-12-13
498,110,primary,2023-01-10
498,259,authorized_signer,2023-01-10
499,264,primary,2021-08-11
500,361,primary,2016-04-07
501,160,primary,2023-02-05
502,244,primary,2017-07-14
503,347,primary,2017-01-04
504,34,primary,2016-08-10
505,143,primary,2018-10-19
506,183,primary,2023-08-04
507,129,primary,2021-10-06
507,251,authorized_signer,2021-10-06
508,92,primary,2016-07-05
508,196,authorized_signer,2016-07-05
509,104,primary,2021-12-22
510,392,primary,2020-08-01
510,17,authorized_signer,2020-08-01
511,400,primary,2020-01-18
512,252,primary,2016-11-03
513,254,primary,2022-09-08
514,188,primary,2021-12-01
514,179,joint,2021-12-01
515,339,primary,2018-10-29
516,87,primary,2017-08-19
516,11,authorized_signer,2017-08-19
517,12,primary,2022-05-18
518,255,primary,2021-05-25
519,39,primary,2018-10-22
520,320,primary,2017-05-26
521,219,primary,2023-01-18
522,103,primary,2023-12-03
523,265,primary,2017-10-26
524,327,primary,2021-06-20
525,237,primary,2024-07-24
526,33,primary,2016-09-08
527,123,primary,2024-06-27
528,217,primary,2017-02-25
529,330,primary,2017-04-07
530,153,primary,2023-02-07
531,371,primary,2019-07-26
532,298,primary,2017-08-24
533,169,primary,2017-10-28
534,55,primary,2023-04-08
535,58,primary,2018-01-29
536,367,primary,2019-10-02
537,354,primary,2015-03-28
538,351,primary,2017-09-08
539,131,primary,2024-09-21
540,393,primary,2024-03-23
541,212,primary,2023-11-08
542,260,primary,2023-01-17
543,329,primary,2019-09-20
544,161,primary,2022-01-25
545,305,primary,2016-03-29
545,352,authorized_signer,2016-03-29
546,168,primary,2020-01-24
547,293,primary,2017-03-24
548,360,primary,2015-04-05
549,88,primary,2015-07-23
550,115,primary,2015-02-27
