flag_id,entity_type,entity_id,flag_reason,flagged_at,resolved_at,resolution_status
192,transaction,3414,duplicate_entry,2025-09-23T15:32:01,2025-09-24T15:32:01,false_positive
193,transaction,1364,duplicate_entry,2025-06-21T12:02:52,2025-06-28T12:02:52,confirmed_fraud
194,transaction,2892,account_takeover_suspected,2025-01-06T14:15:12,,open
195,transaction,5466,amount_spike,2022-01-01T21:56:08,2022-01-09T21:56:08,confirmed_fraud
196,transaction,8328,account_takeover_suspected,2024-08-16T14:11:44,2024-08-19T14:11:44,confirmed_fraud
197,transaction,1257,duplicate_entry,2025-12-07T01:41:19,,open
198,transaction,2752,amount_spike,2024-01-26T23:19:29,2024-02-02T23:19:29,false_positive
199,transaction,2071,duplicate_entry,2023-04-04T00:08:24,,open
200,transaction,8908,account_takeover_suspected,2025-03-23T08:08:05,2025-03-27T08:08:05,confirmed_fraud
201,transaction,4325,duplicate_entry,2025-08-17T08:30:12,2025-08-24T08:30:12,false_positive
202,transaction,6014,duplicate_entry,2024-08-07T07:03:02,,open
203,transaction,6205,account_takeover_suspected,2023-06-14T03:15:59,,open
204,transaction,1222,amount_spike,2022-06-06T21:09:10,,open
205,transaction,1343,account_takeover_suspected,2025-06-07T12:20:39,2025-06-15T12:20:39,confirmed_fraud
206,transaction,1717,duplicate_entry,2025-05-04T09:06:09,2025-05-14T09:06:09,false_positive
207,transaction,1118,duplicate_entry,2024-06-09T05:45:52,2024-06-18T05:45:52,false_positive
208,transaction,1767,duplicate_entry,2024-11-30T01:10:08,,open
209,transaction,5858,amount_spike,2023-05-25T05:23:30,2023-06-03T05:23:30,confirmed_fraud
210,transaction,7863,duplicate_entry,2024-10-02T02:11:42,,open
211,transaction,7145,account_takeover_suspected,2025-02-12T10:45:57,,open
212,transaction,6211,account_takeover_suspected,2025-09-12T10:24:35,2025-09-15T10:24:35,confirmed_fraud
213,transaction,503,amount_spike,2024-09-19T05:11:50,2024-09-22T05:11:50,false_positive
214,transaction,7709,amount_spike,2024-11-26T12:17:05,,open
215,transaction,3801,amount_spike,2024-11-26T18:35:21,2024-11-27T18:35:21,confirmed_fraud
216,transaction,3482,account_takeover_suspected,2025-06-05T16:28:43,,open
217,transaction,2158,account_takeover_suspected,2024-01-24T04:11:49,2024-02-02T04:11:49,confirmed_fraud
218,transaction,5568,amount_spike,2025-07-08T04:15:22,,open
219,transaction,3385,account_takeover_suspected,2023-06-20T00:17:57,2023-06-22T00:17:57,false_positive
220,transaction,6211,duplicate_entry,2025-09-10T19:24:35,,open
221,transaction,5449,amount_spike,2023-11-26T07:47:05,2023-11-27T07:47:05,false_positive
222,transaction,1368,duplicate_entry,2024-05-29T11:12:10,2024-06-03T11:12:10,false_positive
223,transaction,4975,account_takeover_suspected,2024-05-25T05:09:13,2024-06-03T05:09:13,false_positive
224,transaction,1936,amount_spike,2023-05-01T13:11:41,2023-05-07T13:11:41,false_positive
225,transaction,5479,account_takeover_suspected,2024-07-27T22:04:03,,open
226,transaction,7329,duplicate_entry,2025-05-30T00:45:35,,open
227,transaction,7909,account_takeover_suspected,2022-04-12T06:18:40,,open
228,transaction,5915,account_takeover_suspected,2023-01-29T22:40:09,2023-02-01T22:40:09,false_positive
229,transaction,4291,duplicate_entry,2023-12-15T08:41:09,2023-12-23T08:41:09,confirmed_fraud
230,transaction,2590,amount_spike,2023-10-07T01:37:30,2023-10-08T01:37:30,false_positive
231,transaction,3396,account_takeover_suspected,2022-02-13T08:16:30,2022-02-16T08:16:30,false_positive
232,transaction,4812,duplicate_entry,2023-03-28T12:08:54,,open
233,transaction,6889,amount_spike,2024-04-05T05:06:07,2024-04-13T05:06:07,confirmed_fraud
234,transaction,2670,duplicate_entry,2022-11-02T03:07:11,,open
235,transaction,1439,account_takeover_suspected,2024-07-22T21:19:26,,open
236,transaction,6577,account_takeover_suspected,2024-08-23T23:04:26,2024-08-28T23:04:26,false_positive
237,transaction,1100,amount_spike,2023-04-23T23:30:35,,open
238,transaction,6520,duplicate_entry,2022-10-21T13:26:06,,open
239,transaction,2188,account_takeover_suspected,2024-02-06T18:02:28,,open
240,transaction,6513,account_takeover_suspected,2023-02-16T11:07:06,2023-02-21T11:07:06,confirmed_fraud
241,transaction,82,amount_spike,2025-09-23T08:23:55,2025-09-26T08:23:55,false_positive
242,transaction,2246,account_takeover_suspected,2023-09-17T03:04:32,,open
243,transaction,1608,duplicate_entry,2022-08-06T10:47:24,2022-08-11T10:47:24,confirmed_fraud
244,transaction,4388,duplicate_entry,2023-12-04T22:26:04,2023-12-07T22:26:04,confirmed_fraud
245,transaction,4883,amount_spike,2024-08-28T14:48:26,2024-08-29T14:48:26,false_positive
246,transaction,1617,amount_spike,2024-05-28T09:40:40,,open
247,transaction,990,account_takeover_suspected,2025-10-26T09:52:43,2025-11-05T09:52:43,false_positive
248,transaction,8723,account_takeover_suspected,2022-04-23T09:23:01,2022-04-30T09:23:01,confirmed_fraud
249,transaction,5504,amount_spike,2022-05-28T21:23:30,,open
250,transaction,8565,amount_spike,2022-02-10T18:39:48,2022-02-20T18:39:48,false_positive
251,transaction,4592,duplicate_entry,2022-12-17T11:23:31,,open
252,transaction,1489,account_takeover_suspected,2025-02-01T21:57:44,2025-02-07T21:57:44,confirmed_fraud
253,transaction,632,amount_spike,2023-10-23T09:24:51,2023-10-27T09:24:51,confirmed_fraud
254,transaction,7571,duplicate_entry,2024-09-30T23:09:56,,open
255,transaction,8953,amount_spike,2025-04-05T09:49:57,,open
256,transaction,7733,amount_spike,2022-01-09T01:59:14,,open
257,transaction,5806,amount_spike,2025-05-23T15:52:57,2025-05-31T15:52:57,false_positive
258,transaction,1599,amount_spike,2024-02-18T16:06:48,,open
259,transaction,218,duplicate_entry,2022-04-30T22:09:17,2022-05-02T22:09:17,false_positive
