merchant_id,merchant_name,category,city,country
87,Trujillo PLC,restaurant,North Thomas,Qatar
88,Weaver-Sandoval,clothing,Port Tracyborough,France
89,Clay-Garcia,pharmacy,New Joshua,Germany
90,Horton-Michael,travel,Hawkinsburgh,UAE
91,Rodgers Ltd,fuel,Lake Joshuaburgh,USA
92,Young Inc,travel,East Margaret,Germany
93,Anderson Group,pharmacy,Lake Shannonberg,France
94,Wilson Ltd,entertainment,West Courtney,Germany
95,Davenport-Reynolds,entertainment,Port Rachelfort,UAE
96,Smith-Brooks,entertainment,Lake Megan,UAE
97,Rodriguez-Duran,pharmacy,North Eric,UAE
98,Hamilton Ltd,fuel,West Jennifer,UAE
99,"Peters, Byrd and Dodson",grocery,Oliviaburgh,Germany
100,"Patel, Bradley and Mckay",grocery,Jacksonmouth,UAE
101,Stewart-Obrien,restaurant,East Richardfurt,UK
102,"Marshall, Davis and Perkins",clothing,North Jerry,Qatar
103,"Ferguson, Vincent and Castro",electronics,Blankenshipshire,Germany
104,"Rojas, Taylor and Holmes",online_retail,Port David,Qatar
105,Romero PLC,travel,East Amberland,Germany
106,Warren-Davis,online_retail,Martinberg,Germany
107,Williams Group,utilities,East Leah,USA
108,Hale Inc,fuel,New Scott,UK
109,Le-Payne,fuel,Stevenview,France
110,Johnson-Cannon,grocery,Port Elizabethtown,UAE
111,"Johnson, Morris and Todd",online_retail,North Haileyfort,UAE
112,Gonzales PLC,grocery,Briantown,USA
113,"Hernandez, Gomez and Gray",grocery,Port Robinport,Qatar
114,Green-Miller,restaurant,New Elizabeth,Qatar
115,"Woods, Henry and Kent",clothing,East Gregoryport,USA
116,"Howell, Williams and Gray",utilities,New Ryantown,Germany
117,Greene Inc,pharmacy,Ninafurt,France
118,Fields-Davis,entertainment,Alyssafurt,USA
119,Hart-Young,restaurant,Port Joseph,France
120,Ewing LLC,clothing,West Kyleburgh,France
