rate_id,base_currency,quote_currency,rate,rate_date
52,AED,USD,0.2565,2022-12-27
53,EUR,USD,1.0946,2023-01-26
54,GBP,USD,1.2769,2023-01-26
55,QAR,USD,0.2612,2023-01-26
56,AED,USD,0.2912,2023-01-26
57,EUR,USD,1.0594,2023-02-25
58,GBP,USD,1.2598,2023-02-25
59,QAR,USD,0.3026,2023-02-25
60,AED,USD,0.2792,2023-02-25
61,EUR,USD,1.0914,2023-03-27
62,GBP,USD,1.2774,2023-03-27
63,QAR,USD,0.2968,2023-03-27
64,AED,USD,0.2523,2023-03-27
65,EUR,USD,1.0816,2023-04-26
66,GBP,USD,1.2498,2023-04-26
67,QAR,USD,0.2727,2023-04-26
68,AED,USD,0.2774,2023-04-26
69,EUR,USD,1.0738,2023-05-26
70,GBP,USD,1.2541,2023-05-26
71,QAR,USD,0.3037,2023-05-26
72,AED,USD,0.2795,2023-05-26
73,EUR,USD,1.0842,2023-06-25
74,GBP,USD,1.2406,2023-06-25
75,QAR,USD,0.2806,2023-06-25
76,AED,USD,0.2737,2023-06-25
77,EUR,USD,1.058,2023-07-25
78,GBP,USD,1.2796,2023-07-25
79,QAR,USD,0.2625,2023-07-25
80,AED,USD,0.2915,2023-07-25
81,EUR,USD,1.0937,2023-08-24
82,GBP,USD,1.2509,2023-08-24
83,QAR,USD,0.2542,2023-08-24
84,AED,USD,0.2852,2023-08-24
85,EUR,USD,1.0811,2023-09-23
86,GBP,USD,1.2977,2023-09-23
87,QAR,USD,0.2937,2023-09-23
88,AED,USD,0.2471,2023-09-23
89,EUR,USD,1.0838,2023-10-23
90,GBP,USD,1.2563,2023-10-23
91,QAR,USD,0.2501,2023-10-23
92,AED,USD,0.2823,2023-10-23
93,EUR,USD,1.1076,2023-11-22
94,GBP,USD,1.2844,2023-11-22
95,QAR,USD,0.2727,2023-11-22
96,AED,USD,0.2421,2023-11-22
97,EUR,USD,1.0587,2023-12-22
98,GBP,USD,1.257,2023-12-22
99,QAR,USD,0.2548,2023-12-22
100,AED,USD,0.2632,2023-12-22
101,EUR,USD,1.0933,2024-01-21
102,GBP,USD,1.2574,2024-01-21
103,QAR,USD,0.2611,2024-01-21
104,AED,USD,0.2838,2024-01-21
105,EUR,USD,1.1001,2024-02-20
106,GBP,USD,1.2653,2024-02-20
107,QAR,USD,0.2834,2024-02-20
108,AED,USD,0.294,2024-02-20
109,EUR,USD,1.0659,2024-03-21
110,GBP,USD,1.2586,2024-03-21
111,QAR,USD,0.2545,2024-03-21
112,AED,USD,0.272,2024-03-21
113,EUR,USD,1.0988,2024-04-20
114,GBP,USD,1.298,2024-04-20
115,QAR,USD,0.2658,2024-04-20
116,AED,USD,0.2555,2024-04-20
117,EUR,USD,1.0993,2024-05-20
118,GBP,USD,1.2532,2024-05-20
119,QAR,USD,0.2633,2024-05-20
120,AED,USD,0.2518,2024-05-20
121,EUR,USD,1.0641,2024-06-19
122,GBP,USD,1.2437,2024-06-19
123,QAR,USD,0.2951,2024-06-19
124,AED,USD,0.258,2024-06-19
125,EUR,USD,1.0792,2024-07-19
126,GBP,USD,1.2705,2024-07-19
127,QAR,USD,0.304,2024-07-19
128,AED,USD,0.2427,2024-07-19
129,EUR,USD,1.0936,2024-08-18
130,GBP,USD,1.2581,2024-08-18
131,QAR,USD,0.2452,2024-08-18
132,AED,USD,0.2547,2024-08-18
133,EUR,USD,1.1049,2024-09-17
134,GBP,USD,1.2747,2024-09-17
135,QAR,USD,0.2624,2024-09-17
136,AED,USD,0.278,2024-09-17
137,EUR,USD,1.1064,2024-10-17
138,GBP,USD,1.2723,2024-10-17
139,QAR,USD,0.3014,2024-10-17
140,AED,USD,0.2755,2024-10-17
141,EUR,USD,1.1065,2024-11-16
142,GBP,USD,1.2995,2024-11-16
143,QAR,USD,0.2927,2024-11-16
144,AED,USD,0.2631,2024-11-16
145,EUR,USD,1.08,2024-12-16
146,GBP,USD,1.2682,2024-12-16
147,QAR,USD,0.261,2024-12-16
148,AED,USD,0.288,2024-12-16
149,EUR,USD,1.1006,2025-01-15
150,GBP,USD,1.2852,2025-01-15
151,QAR,USD,0.2889,2025-01-15
152,AED,USD,0.2434,2025-01-15
153,EUR,USD,1.0911,2025-02-14
154,GBP,USD,1.2918,2025-02-14
155,QAR,USD,0.2779,2025-02-14
156,AED,USD,0.2478,2025-02-14
157,EUR,USD,1.0785,2025-03-16
158,GBP,USD,1.2771,2025-03-16
159,QAR,USD,0.2866,2025-03-16
160,AED,USD,0.276,2025-03-16
161,EUR,USD,1.0524,2025-04-15
162,GBP,USD,1.2789,2025-04-15
163,QAR,USD,0.2534,2025-04-15
164,AED,USD,0.2543,2025-04-15
165,EUR,USD,1.0805,2025-05-15
166,GBP,USD,1.2861,2025-05-15
167,QAR,USD,0.2469,2025-05-15
168,AED,USD,0.2919,2025-05-15
169,EUR,USD,1.0573,2025-06-14
170,GBP,USD,1.2765,2025-06-14
171,QAR,USD,0.2845,2025-06-14
172,AED,USD,0.2891,2025-06-14
173,EUR,USD,1.074,2025-07-14
174,GBP,USD,1.2699,2025-07-14
175,QAR,USD,0.2988,2025-07-14
176,AED,USD,0.2567,2025-07-14
177,EUR,USD,1.0959,2025-08-13
178,GBP,USD,1.2823,2025-08-13
179,QAR,USD,0.2916,2025-08-13
180,AED,USD,0.2905,2025-08-13
